INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2263.0,0.0,2263.0,-1.0,-7.0,-28.0,2020-04-16
Benner,2057.0,0.0,2057.0,-1.0,-8.0,-17.0,2020-04-16
Camp Hill,2857.0,0.0,2857.0,-5.0,-18.0,-70.0,2020-04-16
Cambridge Springs,1160.0,0.0,1160.0,-1.0,4.0,2.0,2020-04-16
Chester,1049.0,0.0,1049.0,-13.0,-28.0,-72.0,2020-04-16
Coal Township,2119.0,0.0,2119.0,-2.0,-8.0,-26.0,2020-04-16
Dallas,2145.0,0.0,2145.0,-1.0,-5.0,-41.0,2020-04-16
Frackville,1182.0,0.0,1182.0,1.0,-3.0,-21.0,2020-04-16
Forest,2290.0,0.0,2290.0,-2.0,-9.0,-9.0,2020-04-16
Fayette,1984.0,0.0,1984.0,-1.0,-8.0,-46.0,2020-04-16
Greene,1771.0,0.0,1771.0,-2.0,-9.0,-20.0,2020-04-16
Houtzdale,2481.0,0.0,2481.0,-2.0,-6.0,-39.0,2020-04-16
Huntingdon,2002.0,0.0,2002.0,-3.0,-8.0,-32.0,2020-04-16
Laurel Highlands,1399.0,0.0,1399.0,-2.0,-17.0,-55.0,2020-04-16
Mahanoy,2326.0,0.0,2326.0,-7.0,-13.0,-42.0,2020-04-16
Mercer,1329.0,0.0,1329.0,-4.0,-4.0,-32.0,2020-04-16
Muncy,1347.0,0.0,1347.0,-1.0,-19.0,-29.0,2020-04-16
Phoenix,3103.0,0.0,3103.0,-13.0,-27.0,-95.0,2020-04-16
Pine Grove,1016.0,0.0,1016.0,-4.0,-8.0,-21.0,2020-04-16
Quehanna,390.0,0.0,390.0,0.0,0.0,-22.0,2020-04-16
Retreat,481.0,0.0,481.0,0.0,1.0,290.0,2020-04-16
Rockview,2318.0,0.0,2318.0,-2.0,-3.0,-23.0,2020-04-16
Smithfield,1291.0,2.0,1289.0,-2.0,-8.0,-14.0,2020-04-16
Somerset,2320.0,0.0,2320.0,-4.0,-13.0,-46.0,2020-04-16
Waymart,1344.0,4.0,1340.0,-8.0,-17.0,-46.0,2020-04-16
SCI TOTAL,44024.0,6.0,44018.0,-80.0,-241.0,-554.0,2020-04-16
CCC/F East,1071.0,0.0,1071.0,5.0,-23.0,96.0,2020-04-16
CCC/F Central,1205.0,0.0,1205.0,11.0,31.0,73.0,2020-04-16
CCC/F West,861.0,0.0,861.0,17.0,12.0,173.0,2020-04-16
CCC/F TOTAL,3137.0,0.0,3137.0,33.0,20.0,342.0,2020-04-16
