INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2217.0,4.0,2213.0,0.0,4.0,33.0,2020-06-16
Benner,1979.0,3.0,1976.0,-1.0,-4.0,-32.0,2020-06-16
Camp Hill,2367.0,10.0,2357.0,-85.0,-119.0,-360.0,2020-06-16
Cambridge Springs,1045.0,19.0,1026.0,-1.0,-3.0,-15.0,2020-06-16
Chester,890.0,3.0,887.0,-1.0,-9.0,-42.0,2020-06-16
Coal Township,2094.0,4.0,2090.0,-3.0,32.0,55.0,2020-06-16
Dallas,2155.0,3.0,2152.0,-1.0,12.0,27.0,2020-06-16
Frackville,1200.0,4.0,1196.0,15.0,14.0,22.0,2020-06-16
Forest,2352.0,8.0,2344.0,-1.0,0.0,27.0,2020-06-16
Fayette,1944.0,4.0,1940.0,23.0,46.0,62.0,2020-06-16
Greene,1739.0,4.0,1735.0,-3.0,-6.0,8.0,2020-06-16
Houtzdale,2424.0,4.0,2420.0,19.0,18.0,0.0,2020-06-16
Huntingdon,1879.0,1.0,1878.0,-1.0,-1.0,-8.0,2020-06-16
Laurel Highlands,1259.0,18.0,1241.0,-1.0,-6.0,-42.0,2020-06-16
Mahanoy,2302.0,6.0,2296.0,14.0,13.0,44.0,2020-06-16
Mercer,1306.0,3.0,1303.0,23.0,21.0,0.0,2020-06-16
Muncy,1177.0,11.0,1166.0,5.0,3.0,-61.0,2020-06-16
Phoenix,2876.0,9.0,2867.0,-3.0,-8.0,-63.0,2020-06-16
Pine Grove,1014.0,4.0,1010.0,-1.0,-3.0,8.0,2020-06-16
Quehanna,387.0,0.0,387.0,0.0,0.0,-15.0,2020-06-16
Retreat,536.0,0.0,536.0,-4.0,-56.0,-50.0,2020-06-16
Rockview,2010.0,8.0,2002.0,0.0,-2.0,-23.0,2020-06-16
Smithfield,1271.0,5.0,1266.0,-1.0,4.0,11.0,2020-06-16
Somerset,2268.0,0.0,2268.0,-4.0,-9.0,-15.0,2020-06-16
Waymart,1201.0,11.0,1190.0,-1.0,-3.0,-33.0,2020-06-16
SCI TOTAL,41892.0,146.0,41746.0,-13.0,-62.0,-462.0,2020-06-16
CCC/F East,959.0,0.0,959.0,-1.0,-27.0,-36.0,2020-06-16
CCC/F Central,1000.0,0.0,1000.0,-22.0,-21.0,-125.0,2020-06-16
CCC/F West,658.0,0.0,658.0,-8.0,-26.0,-65.0,2020-06-16
CCC/F TOTAL,2617.0,0.0,2617.0,-31.0,-74.0,-226.0,2020-06-16
