INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2211.0,4.0,2207.0,3.0,2.0,4.0,2020-10-14
Benner,1977.0,3.0,1974.0,-3.0,-6.0,-14.0,2020-10-14
Camp Hill,2130.0,7.0,2123.0,0.0,-77.0,-108.0,2020-10-14
Cambridge Springs,966.0,18.0,948.0,-2.0,2.0,-16.0,2020-10-14
Chester,1033.0,2.0,1031.0,-3.0,73.0,63.0,2020-10-14
Coal Township,2198.0,4.0,2194.0,-3.0,1.0,11.0,2020-10-14
Dallas,2108.0,2.0,2106.0,9.0,7.0,-2.0,2020-10-14
Frackville,1030.0,3.0,1027.0,-3.0,-3.0,-8.0,2020-10-14
Forest,2331.0,4.0,2327.0,-2.0,-6.0,-15.0,2020-10-14
Fayette,1947.0,3.0,1944.0,-5.0,-5.0,-30.0,2020-10-14
Greene,1680.0,3.0,1677.0,-18.0,-10.0,9.0,2020-10-14
Houtzdale,2437.0,2.0,2435.0,6.0,4.0,-2.0,2020-10-14
Huntingdon,1797.0,1.0,1796.0,-14.0,-16.0,58.0,2020-10-14
Laurel Highlands,879.0,13.0,866.0,3.0,0.0,-19.0,2020-10-14
Mahanoy,2294.0,5.0,2289.0,-5.0,-7.0,-17.0,2020-10-14
Mercer,1245.0,3.0,1242.0,-2.0,-5.0,-27.0,2020-10-14
Muncy,1081.0,10.0,1071.0,2.0,-7.0,14.0,2020-10-14
Phoenix,2806.0,9.0,2797.0,22.0,19.0,-15.0,2020-10-14
Pine Grove,1010.0,3.0,1007.0,1.0,-2.0,-14.0,2020-10-14
Quehanna,352.0,0.0,352.0,0.0,-1.0,-64.0,2020-10-14
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-14
Rockview,1606.0,5.0,1601.0,-3.0,-5.0,-33.0,2020-10-14
Smithfield,1358.0,4.0,1354.0,-2.0,-6.0,-19.0,2020-10-14
Somerset,2244.0,0.0,2244.0,-2.0,-4.0,-15.0,2020-10-14
Waymart,1029.0,8.0,1021.0,-3.0,-6.0,-16.0,2020-10-14
SCI TOTAL,39749.0,116.0,39633.0,-24.0,-58.0,-275.0,2020-10-14
CCC/F East,616.0,0.0,616.0,-4.0,-4.0,4.0,2020-10-14
CCC/F Central,838.0,0.0,838.0,-23.0,-23.0,-42.0,2020-10-14
CCC/F West,801.0,0.0,801.0,-9.0,-9.0,63.0,2020-10-14
CCC/F TOTAL,2255.0,0.0,2255.0,-36.0,-36.0,25.0,2020-10-14
