SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2128.0,4.0,2124.0,12.0,7.0,-29.0,2021-03-31
Benner,1956.0,3.0,1953.0,7.0,-6.0,10.0,2021-03-31
Camp Hill,2015.0,7.0,2008.0,-66.0,-26.0,-62.0,2021-03-31
Cambridge Springs,885.0,15.0,870.0,0.0,5.0,-4.0,2021-03-31
Chester,1015.0,1.0,1014.0,-1.0,6.0,23.0,2021-03-31
Coal Township,2051.0,4.0,2047.0,-20.0,-33.0,-41.0,2021-03-31
Dallas,1547.0,2.0,1545.0,-7.0,-10.0,-55.0,2021-03-31
Frackville,1098.0,3.0,1095.0,7.0,3.0,-10.0,2021-03-31
Forest,2262.0,3.0,2259.0,-1.0,4.0,24.0,2021-03-31
Fayette,1944.0,2.0,1942.0,8.0,6.0,-16.0,2021-03-31
Greene,1687.0,2.0,1685.0,-11.0,4.0,-81.0,2021-03-31
Houtzdale,2359.0,2.0,2357.0,4.0,-2.0,-19.0,2021-03-31
Huntingdon,1751.0,1.0,1750.0,-1.0,-6.0,-55.0,2021-03-31
Laurel Highlands,767.0,12.0,755.0,-3.0,-4.0,-23.0,2021-03-31
Mahanoy,2206.0,4.0,2202.0,5.0,-3.0,21.0,2021-03-31
Mercer,1050.0,3.0,1047.0,10.0,6.0,-10.0,2021-03-31
Muncy,1065.0,8.0,1057.0,-1.0,-13.0,-1.0,2021-03-31
Phoenix,3019.0,8.0,3011.0,2.0,0.0,45.0,2021-03-31
Pine Grove,925.0,3.0,922.0,4.0,4.0,-11.0,2021-03-31
Quehanna,278.0,0.0,278.0,11.0,0.0,8.0,2021-03-31
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-31
Rockview,1487.0,3.0,1484.0,4.0,-2.0,-33.0,2021-03-31
Smithfield,1052.0,3.0,1049.0,36.0,-22.0,20.0,2021-03-31
Somerset,2169.0,0.0,2169.0,10.0,11.0,21.0,2021-03-31
Waymart,841.0,7.0,834.0,-1.0,-2.0,-31.0,2021-03-31
SCI TOTAL,37557.0,100.0,37457.0,8.0,-73.0,-309.0,2021-03-31
CCC/F East,520.0,0.0,520.0,1.0,-3.0,25.0,2021-03-31
CCC/F Central,622.0,0.0,622.0,-4.0,-8.0,4.0,2021-03-31
CCC/F West,527.0,0.0,527.0,-2.0,-7.0,40.0,2021-03-31
CCC/F TOTAL,1669.0,0.0,1669.0,-5.0,-18.0,69.0,2021-03-31
