INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2215.0,4.0,2211.0,15.0,27.0,44.0,2020-11-12
Benner,1957.0,3.0,1954.0,18.0,19.0,3.0,2020-11-12
Camp Hill,1998.0,7.0,1991.0,-3.0,-114.0,-57.0,2020-11-12
Cambridge Springs,953.0,18.0,935.0,-5.0,-7.0,-17.0,2020-11-12
Chester,1014.0,2.0,1012.0,0.0,-6.0,-15.0,2020-11-12
Coal Township,2260.0,4.0,2256.0,-58.0,-37.0,-28.0,2020-11-12
Dallas,1981.0,2.0,1979.0,-1.0,-6.0,-16.0,2020-11-12
Frackville,1148.0,3.0,1145.0,11.0,7.0,102.0,2020-11-12
Forest,2335.0,4.0,2331.0,1.0,-6.0,20.0,2020-11-12
Fayette,1966.0,3.0,1963.0,5.0,24.0,20.0,2020-11-12
Greene,1703.0,3.0,1700.0,-32.0,-35.0,-15.0,2020-11-12
Houtzdale,2430.0,2.0,2428.0,18.0,22.0,13.0,2020-11-12
Huntingdon,1696.0,1.0,1695.0,-2.0,-5.0,-10.0,2020-11-12
Laurel Highlands,839.0,13.0,826.0,-3.0,-5.0,-20.0,2020-11-12
Mahanoy,2278.0,5.0,2273.0,24.0,19.0,8.0,2020-11-12
Mercer,1195.0,3.0,1192.0,-4.0,-7.0,-16.0,2020-11-12
Muncy,1063.0,10.0,1053.0,-9.0,-9.0,-4.0,2020-11-12
Phoenix,2973.0,9.0,2964.0,9.0,33.0,2.0,2020-11-12
Pine Grove,961.0,3.0,958.0,0.0,-1.0,-29.0,2020-11-12
Quehanna,350.0,0.0,350.0,11.0,8.0,33.0,2020-11-12
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-12
Rockview,1567.0,4.0,1563.0,-2.0,-4.0,-14.0,2020-11-12
Smithfield,1321.0,4.0,1317.0,-5.0,-9.0,-14.0,2020-11-12
Somerset,2202.0,0.0,2202.0,-1.0,-7.0,-20.0,2020-11-12
Waymart,990.0,7.0,983.0,1.0,-1.0,-15.0,2020-11-12
SCI TOTAL,39395.0,114.0,39281.0,-12.0,-100.0,-45.0,2020-11-12
CCC/F East,649.0,0.0,649.0,-8.0,-8.0,12.0,2020-11-12
CCC/F Central,808.0,0.0,808.0,-16.0,-16.0,-20.0,2020-11-12
CCC/F West,781.0,0.0,781.0,-17.0,-17.0,-42.0,2020-11-12
CCC/F TOTAL,2238.0,0.0,2238.0,-41.0,-41.0,-50.0,2020-11-12
