date,SCI,population,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-14,Albion,2269.0,-1.0,-1.0,-22.0
2020-04-14,Benner,2063.0,-2.0,-2.0,-11.0
2020-04-14,Camp Hill,2872.0,-3.0,-3.0,-55.0
2020-04-14,Cambridge Springs,1165.0,12.0,9.0,7.0
2020-04-14,Chester,1070.0,-7.0,-7.0,-51.0
2020-04-14,Coal Township,2124.0,0.0,-3.0,-21.0
2020-04-14,Dallas,2148.0,-2.0,-2.0,-38.0
2020-04-14,Frackville,1184.0,-1.0,-1.0,-19.0
2020-04-14,Forest,2294.0,0.0,-5.0,-5.0
2020-04-14,Fayette,1988.0,-4.0,-4.0,-42.0
2020-04-14,Greene,1773.0,-4.0,-7.0,-18.0
2020-04-14,Houtzdale,2484.0,-1.0,-3.0,-36.0
2020-04-14,Huntingdon,2007.0,-3.0,-3.0,-27.0
2020-04-14,Laurel Highlands,1411.0,-1.0,-5.0,-43.0
2020-04-14,Mahanoy,2337.0,-2.0,-2.0,-31.0
2020-04-14,Mercer,1333.0,0.0,0.0,-28.0
2020-04-14,Muncy,1353.0,-13.0,-13.0,-23.0
2020-04-14,Phoenix,3125.0,-3.0,-5.0,-73.0
2020-04-14,Pine Grove,1023.0,-1.0,-1.0,-14.0
2020-04-14,Quehanna,390.0,0.0,0.0,-22.0
2020-04-14,Retreat,480.0,0.0,0.0,289.0
2020-04-14,Rockview,2321.0,1.0,0.0,-20.0
2020-04-14,Smithfield,1295.0,-2.0,-2.0,-8.0
2020-04-14,Somerset,2327.0,-1.0,-6.0,-39.0
2020-04-14,Waymart,1354.0,-1.0,-3.0,-32.0
2020-04-14,SCI TOTAL,44190.0,-39.0,-69.0,-382.0
2020-04-14,CCC/F Eastern Region,1063.0,-31.0,-31.0,88.0
2020-04-14,CCC/F Central Region,1098.0,-76.0,-76.0,-34.0
2020-04-14,CCC/F Western Region,851.0,2.0,2.0,163.0
2020-04-14,CCC/F TOTAL,3012.0,-105.0,-105.0,217.0
