SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2133.0,4.0,2129.0,-6.0,-8.0,-24.0,2021-03-11
Benner,1964.0,3.0,1961.0,-5.0,5.0,18.0,2021-03-11
Camp Hill,2017.0,7.0,2010.0,14.0,-4.0,-60.0,2021-03-11
Cambridge Springs,879.0,15.0,864.0,-3.0,-8.0,-10.0,2021-03-11
Chester,1021.0,1.0,1020.0,16.0,10.0,29.0,2021-03-11
Coal Township,2087.0,4.0,2083.0,-11.0,37.0,-5.0,2021-03-11
Dallas,1577.0,2.0,1575.0,-2.0,-14.0,-25.0,2021-03-11
Frackville,1107.0,3.0,1104.0,-7.0,2.0,-1.0,2021-03-11
Forest,2254.0,3.0,2251.0,10.0,6.0,16.0,2021-03-11
Fayette,1961.0,3.0,1958.0,-2.0,-5.0,0.0,2021-03-11
Greene,1752.0,2.0,1750.0,0.0,2.0,-16.0,2021-03-11
Houtzdale,2385.0,2.0,2383.0,2.0,8.0,7.0,2021-03-11
Huntingdon,1777.0,1.0,1776.0,-5.0,-11.0,-29.0,2021-03-11
Laurel Highlands,778.0,12.0,766.0,-8.0,-11.0,-12.0,2021-03-11
Mahanoy,2207.0,4.0,2203.0,11.0,15.0,22.0,2021-03-11
Mercer,1063.0,3.0,1060.0,-2.0,7.0,3.0,2021-03-11
Muncy,1071.0,8.0,1063.0,-1.0,3.0,5.0,2021-03-11
Phoenix,3000.0,8.0,2992.0,1.0,-7.0,26.0,2021-03-11
Pine Grove,947.0,3.0,944.0,2.0,10.0,11.0,2021-03-11
Quehanna,272.0,0.0,272.0,-1.0,-2.0,2.0,2021-03-11
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-11
Rockview,1509.0,4.0,1505.0,-1.0,-5.0,-12.0,2021-03-11
Smithfield,988.0,3.0,985.0,-12.0,-107.0,-44.0,2021-03-11
Somerset,2148.0,0.0,2148.0,-6.0,-8.0,0.0,2021-03-11
Waymart,859.0,7.0,852.0,-4.0,-7.0,-13.0,2021-03-11
SCI TOTAL,37756.0,102.0,37654.0,-20.0,-92.0,-112.0,2021-03-11
CCC/F East,491.0,0.0,491.0,3.0,-8.0,-4.0,2021-03-11
CCC/F Central,619.0,0.0,619.0,18.0,-16.0,1.0,2021-03-11
CCC/F West,517.0,0.0,517.0,10.0,3.0,30.0,2021-03-11
CCC/F TOTAL,1627.0,0.0,1627.0,31.0,-21.0,27.0,2021-03-11
