INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2200.0,4.0,2196.0,-3.0,-6.0,-7.0,2020-10-07
Benner,1990.0,3.0,1987.0,4.0,0.0,-1.0,2020-10-07
Camp Hill,2216.0,7.0,2209.0,-4.0,-11.0,-22.0,2020-10-07
Cambridge Springs,980.0,19.0,961.0,-1.0,5.0,-3.0,2020-10-07
Chester,975.0,2.0,973.0,19.0,15.0,5.0,2020-10-07
Coal Township,2170.0,4.0,2166.0,-21.0,-29.0,-17.0,2020-10-07
Dallas,2115.0,2.0,2113.0,-1.0,1.0,5.0,2020-10-07
Frackville,1035.0,3.0,1032.0,-1.0,-2.0,-3.0,2020-10-07
Forest,2332.0,5.0,2327.0,-11.0,-13.0,-15.0,2020-10-07
Fayette,1957.0,3.0,1954.0,2.0,-4.0,-20.0,2020-10-07
Greene,1680.0,3.0,1677.0,5.0,13.0,9.0,2020-10-07
Houtzdale,2437.0,2.0,2435.0,6.0,3.0,-2.0,2020-10-07
Huntingdon,1814.0,1.0,1813.0,-5.0,49.0,75.0,2020-10-07
Laurel Highlands,883.0,13.0,870.0,-1.0,-8.0,-15.0,2020-10-07
Mahanoy,2304.0,5.0,2299.0,-3.0,-7.0,-7.0,2020-10-07
Mercer,1253.0,3.0,1250.0,-6.0,-10.0,-19.0,2020-10-07
Muncy,1085.0,11.0,1074.0,13.0,8.0,17.0,2020-10-07
Phoenix,2798.0,9.0,2789.0,8.0,20.0,-23.0,2020-10-07
Pine Grove,1015.0,3.0,1012.0,2.0,-3.0,-9.0,2020-10-07
Quehanna,396.0,0.0,396.0,1.0,-23.0,-20.0,2020-10-07
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-07
Rockview,1621.0,5.0,1616.0,0.0,-5.0,-18.0,2020-10-07
Smithfield,1374.0,4.0,1370.0,0.0,0.0,-3.0,2020-10-07
Somerset,2256.0,0.0,2256.0,-3.0,-8.0,-3.0,2020-10-07
Waymart,1036.0,8.0,1028.0,-3.0,-8.0,-9.0,2020-10-07
SCI TOTAL,39922.0,119.0,39803.0,-3.0,-23.0,-105.0,2020-10-07
CCC/F East,601.0,0.0,601.0,-6.0,-11.0,-11.0,2020-10-07
CCC/F Central,846.0,0.0,846.0,-38.0,-34.0,-34.0,2020-10-07
CCC/F West,781.0,0.0,781.0,19.0,43.0,43.0,2020-10-07
CCC/F TOTAL,2228.0,0.0,2228.0,-25.0,-2.0,-2.0,2020-10-07
