SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2159.0,4.0,2155.0,3.0,2.0,18.0,2021-02-24
Benner,1947.0,3.0,1944.0,-4.0,-5.0,-6.0,2021-02-24
Camp Hill,2154.0,7.0,2147.0,29.0,58.0,-7.0,2021-02-24
Cambridge Springs,885.0,16.0,869.0,5.0,10.0,3.0,2021-02-24
Chester,960.0,1.0,959.0,-2.0,-3.0,-11.0,2021-02-24
Coal Township,2124.0,4.0,2120.0,-8.0,-28.0,-93.0,2021-02-24
Dallas,1610.0,2.0,1608.0,-4.0,-6.0,-43.0,2021-02-24
Frackville,1117.0,3.0,1114.0,5.0,10.0,4.0,2021-02-24
Forest,2230.0,3.0,2227.0,0.0,-1.0,-21.0,2021-02-24
Fayette,1968.0,3.0,1965.0,-1.0,-5.0,-14.0,2021-02-24
Greene,1766.0,2.0,1764.0,-7.0,17.0,7.0,2021-02-24
Houtzdale,2373.0,2.0,2371.0,1.0,3.0,-23.0,2021-02-24
Huntingdon,1814.0,1.0,1813.0,0.0,-3.0,-20.0,2021-02-24
Laurel Highlands,794.0,13.0,781.0,-2.0,-6.0,-27.0,2021-02-24
Mahanoy,2187.0,4.0,2183.0,11.0,8.0,1.0,2021-02-24
Mercer,1054.0,3.0,1051.0,-1.0,0.0,-28.0,2021-02-24
Muncy,1058.0,8.0,1050.0,-6.0,-16.0,-40.0,2021-02-24
Phoenix,2958.0,8.0,2950.0,-2.0,-7.0,-13.0,2021-02-24
Pine Grove,921.0,3.0,918.0,1.0,6.0,-1.0,2021-02-24
Quehanna,276.0,0.0,276.0,0.0,-1.0,-11.0,2021-02-24
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-24
Rockview,1529.0,4.0,1525.0,-4.0,-5.0,-16.0,2021-02-24
Smithfield,1037.0,3.0,1034.0,-35.0,-70.0,6.0,2021-02-24
Somerset,2135.0,0.0,2135.0,0.0,-1.0,-5.0,2021-02-24
Waymart,880.0,7.0,873.0,-3.0,-4.0,-31.0,2021-02-24
SCI TOTAL,37936.0,104.0,37832.0,-24.0,-47.0,-371.0,2021-02-24
CCC/F East,484.0,0.0,484.0,-11.0,4.0,22.0,2021-02-24
CCC/F Central,598.0,0.0,598.0,-4.0,2.0,54.0,2021-02-24
CCC/F West,470.0,0.0,470.0,-5.0,-10.0,18.0,2021-02-24
CCC/F TOTAL,1552.0,0.0,1552.0,-20.0,-4.0,94.0,2021-02-24
