INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2231.0,2.0,2229.0,-2.0,-3.0,-8.0,2020-05-04
Benner,2041.0,3.0,2038.0,0.0,0.0,-2.0,2020-05-04
Camp Hill,3014.0,8.0,3006.0,-3.0,-4.0,21.0,2020-05-04
Cambridge Springs,1112.0,16.0,1096.0,0.0,-8.0,-18.0,2020-05-04
Chester,1005.0,2.0,1003.0,0.0,0.0,-3.0,2020-05-04
Coal Township,2080.0,5.0,2075.0,0.0,0.0,-6.0,2020-05-04
Dallas,2147.0,3.0,2144.0,0.0,0.0,-6.0,2020-05-04
Frackville,1193.0,3.0,1190.0,0.0,0.0,23.0,2020-05-04
Forest,2327.0,5.0,2322.0,0.0,-2.0,-1.0,2020-05-04
Fayette,1934.0,3.0,1931.0,-3.0,-4.0,-7.0,2020-05-04
Greene,1753.0,3.0,1750.0,-2.0,-4.0,-7.0,2020-05-04
Houtzdale,2453.0,3.0,2450.0,0.0,-4.0,-4.0,2020-05-04
Huntingdon,1982.0,1.0,1981.0,0.0,0.0,-1.0,2020-05-04
Laurel Highlands,1358.0,12.0,1346.0,0.0,-2.0,-7.0,2020-05-04
Mahanoy,2291.0,3.0,2288.0,0.0,-2.0,-6.0,2020-05-04
Mercer,1322.0,3.0,1319.0,0.0,0.0,-4.0,2020-05-04
Muncy,1302.0,9.0,1293.0,0.0,-1.0,-3.0,2020-05-04
Phoenix,2989.0,8.0,2981.0,0.0,-3.0,-42.0,2020-05-04
Pine Grove,1021.0,2.0,1019.0,0.0,0.0,-5.0,2020-05-04
Quehanna,303.0,0.0,303.0,0.0,0.0,0.0,2020-05-04
Retreat,418.0,0.0,418.0,0.0,1.0,60.0,2020-05-04
Rockview,2067.0,4.0,2063.0,0.0,-4.0,-73.0,2020-05-04
Smithfield,1264.0,3.0,1261.0,0.0,0.0,-4.0,2020-05-04
Somerset,2302.0,0.0,2302.0,0.0,-1.0,-3.0,2020-05-04
Waymart,1307.0,10.0,1297.0,0.0,-2.0,-9.0,2020-05-04
SCI TOTAL,43216.0,111.0,43105.0,-10.0,-43.0,-115.0,2020-05-04
CCC/F East,1040.0,0.0,1040.0,0.0,0.0,15.0,2020-05-04
CCC/F Central,1221.0,0.0,1221.0,0.0,0.0,28.0,2020-05-04
CCC/F West,744.0,0.0,744.0,0.0,0.0,10.0,2020-05-04
CCC/F TOTAL,3005.0,0.0,3005.0,0.0,0.0,53.0,2020-05-04
