INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2186.0,4.0,2182.0,-2.0,-2.0,15.0,2020-11-09
Benner,1938.0,3.0,1935.0,0.0,0.0,-16.0,2020-11-09
Camp Hill,2109.0,7.0,2102.0,-3.0,-3.0,54.0,2020-11-09
Cambridge Springs,955.0,18.0,937.0,-5.0,-5.0,-15.0,2020-11-09
Chester,1017.0,2.0,1015.0,-3.0,-3.0,-12.0,2020-11-09
Coal Township,2298.0,4.0,2294.0,1.0,1.0,10.0,2020-11-09
Dallas,1984.0,2.0,1982.0,-3.0,-3.0,-13.0,2020-11-09
Frackville,1138.0,3.0,1135.0,-3.0,-3.0,92.0,2020-11-09
Forest,2336.0,4.0,2332.0,-5.0,-5.0,21.0,2020-11-09
Fayette,1936.0,3.0,1933.0,-6.0,-6.0,-10.0,2020-11-09
Greene,1738.0,3.0,1735.0,0.0,0.0,20.0,2020-11-09
Houtzdale,2409.0,2.0,2407.0,1.0,1.0,-8.0,2020-11-09
Huntingdon,1699.0,1.0,1698.0,-2.0,-2.0,-7.0,2020-11-09
Laurel Highlands,843.0,13.0,830.0,-1.0,-1.0,-16.0,2020-11-09
Mahanoy,2256.0,5.0,2251.0,-3.0,-3.0,-14.0,2020-11-09
Mercer,1199.0,3.0,1196.0,-3.0,-3.0,-12.0,2020-11-09
Muncy,1071.0,10.0,1061.0,-1.0,-1.0,4.0,2020-11-09
Phoenix,2933.0,9.0,2924.0,-7.0,-7.0,-38.0,2020-11-09
Pine Grove,961.0,3.0,958.0,-1.0,-1.0,-29.0,2020-11-09
Quehanna,339.0,0.0,339.0,-3.0,-3.0,22.0,2020-11-09
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-09
Rockview,1570.0,4.0,1566.0,-1.0,-1.0,-11.0,2020-11-09
Smithfield,1328.0,4.0,1324.0,-2.0,-2.0,-7.0,2020-11-09
Somerset,2203.0,0.0,2203.0,-6.0,-6.0,-19.0,2020-11-09
Waymart,991.0,7.0,984.0,0.0,0.0,-14.0,2020-11-09
SCI TOTAL,39437.0,114.0,39323.0,-58.0,-58.0,-3.0,2020-11-09
CCC/F East,657.0,0.0,657.0,0.0,0.0,20.0,2020-11-09
CCC/F Central,824.0,0.0,824.0,0.0,0.0,-4.0,2020-11-09
CCC/F West,798.0,0.0,798.0,0.0,0.0,-25.0,2020-11-09
CCC/F TOTAL,2279.0,0.0,2279.0,0.0,0.0,-9.0,2020-11-09
