INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2229.0,2.0,2227.0,-2.0,-5.0,-10.0,2020-05-05
Benner,2040.0,3.0,2037.0,-1.0,-1.0,-3.0,2020-05-05
Camp Hill,3002.0,8.0,2994.0,-12.0,-16.0,9.0,2020-05-05
Cambridge Springs,1106.0,16.0,1090.0,-6.0,-14.0,-24.0,2020-05-05
Chester,1001.0,2.0,999.0,-4.0,-4.0,-7.0,2020-05-05
Coal Township,2072.0,5.0,2067.0,-8.0,-8.0,-14.0,2020-05-05
Dallas,2144.0,3.0,2141.0,-3.0,-3.0,-9.0,2020-05-05
Frackville,1188.0,3.0,1185.0,-5.0,-5.0,18.0,2020-05-05
Forest,2327.0,5.0,2322.0,0.0,-2.0,-1.0,2020-05-05
Fayette,1930.0,3.0,1927.0,-4.0,-8.0,-11.0,2020-05-05
Greene,1753.0,3.0,1750.0,0.0,-4.0,-7.0,2020-05-05
Houtzdale,2448.0,3.0,2445.0,-5.0,-9.0,-9.0,2020-05-05
Huntingdon,1981.0,1.0,1980.0,-1.0,-1.0,-2.0,2020-05-05
Laurel Highlands,1358.0,12.0,1346.0,0.0,-2.0,-7.0,2020-05-05
Mahanoy,2289.0,3.0,2286.0,-2.0,-4.0,-8.0,2020-05-05
Mercer,1322.0,3.0,1319.0,0.0,0.0,-4.0,2020-05-05
Muncy,1299.0,9.0,1290.0,-3.0,-4.0,-6.0,2020-05-05
Phoenix,2985.0,8.0,2977.0,-4.0,-7.0,-46.0,2020-05-05
Pine Grove,1020.0,2.0,1018.0,-1.0,-1.0,-6.0,2020-05-05
Quehanna,303.0,0.0,303.0,0.0,0.0,0.0,2020-05-05
Retreat,452.0,0.0,452.0,34.0,35.0,94.0,2020-05-05
Rockview,2066.0,4.0,2062.0,-1.0,-5.0,-74.0,2020-05-05
Smithfield,1263.0,3.0,1260.0,-1.0,-1.0,-5.0,2020-05-05
Somerset,2301.0,0.0,2301.0,-1.0,-2.0,-4.0,2020-05-05
Waymart,1307.0,10.0,1297.0,0.0,-2.0,-9.0,2020-05-05
SCI TOTAL,43186.0,111.0,43075.0,-30.0,-73.0,-145.0,2020-05-05
CCC/F East,1036.0,0.0,1036.0,-4.0,-4.0,11.0,2020-05-05
CCC/F Central,1215.0,0.0,1215.0,-6.0,-6.0,22.0,2020-05-05
CCC/F West,758.0,0.0,758.0,14.0,14.0,24.0,2020-05-05
CCC/F TOTAL,3009.0,0.0,3009.0,4.0,4.0,57.0,2020-05-05
