INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2240.0,2.0,2238.0,-3.0,-5.0,-53.0,2020-04-28
Benner,2046.0,3.0,2043.0,-2.0,-4.0,-31.0,2020-04-28
Camp Hill,2973.0,8.0,2965.0,-6.0,-6.0,38.0,2020-04-28
Cambridge Springs,1131.0,16.0,1115.0,-1.0,-3.0,-43.0,2020-04-28
Chester,1015.0,1.0,1014.0,-13.0,-13.0,-107.0,2020-04-28
Coal Township,2094.0,5.0,2089.0,0.0,0.0,-56.0,2020-04-28
Dallas,2161.0,3.0,2158.0,28.0,28.0,-28.0,2020-04-28
Frackville,1171.0,3.0,1168.0,-2.0,-2.0,-35.0,2020-04-28
Forest,2283.0,5.0,2278.0,-1.0,-2.0,-21.0,2020-04-28
Fayette,1949.0,3.0,1946.0,-3.0,-7.0,-84.0,2020-04-28
Greene,1756.0,2.0,1754.0,-1.0,-3.0,-37.0,2020-04-28
Houtzdale,2466.0,3.0,2463.0,-3.0,-4.0,-57.0,2020-04-28
Huntingdon,1989.0,1.0,1988.0,-4.0,-4.0,-46.0,2020-04-28
Laurel Highlands,1372.0,13.0,1359.0,0.0,-2.0,-95.0,2020-04-28
Mahanoy,2304.0,3.0,2301.0,-5.0,-5.0,-67.0,2020-04-28
Mercer,1328.0,3.0,1325.0,27.0,27.0,-36.0,2020-04-28
Muncy,1313.0,9.0,1304.0,-5.0,-5.0,-72.0,2020-04-28
Phoenix,3046.0,8.0,3038.0,-5.0,-8.0,-160.0,2020-04-28
Pine Grove,1011.0,2.0,1009.0,0.0,0.0,-28.0,2020-04-28
Quehanna,318.0,0.0,318.0,0.0,0.0,-94.0,2020-04-28
Retreat,345.0,0.0,345.0,22.0,21.0,154.0,2020-04-28
Rockview,2242.0,3.0,2239.0,-64.0,-65.0,-102.0,2020-04-28
Smithfield,1273.0,3.0,1270.0,-1.0,-4.0,-33.0,2020-04-28
Somerset,2310.0,0.0,2310.0,-2.0,-3.0,-56.0,2020-04-28
Waymart,1321.0,10.0,1311.0,-1.0,-4.0,-75.0,2020-04-28
SCI TOTAL,43457.0,109.0,43348.0,-45.0,-73.0,-1224.0,2020-04-28
CCC/F East,1025.0,0.0,1025.0,-3.0,-3.0,50.0,2020-04-28
CCC/F Central,1196.0,0.0,1196.0,-24.0,-24.0,64.0,2020-04-28
CCC/F West,836.0,0.0,836.0,-8.0,-8.0,148.0,2020-04-28
CCC/F TOTAL,3057.0,0.0,3057.0,-35.0,-35.0,262.0,2020-04-28
