INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2204.0,4.0,2200.0,-11.0,16.0,33.0,2020-11-13
Benner,1954.0,3.0,1951.0,-3.0,16.0,0.0,2020-11-13
Camp Hill,2009.0,7.0,2002.0,11.0,-103.0,-46.0,2020-11-13
Cambridge Springs,948.0,18.0,930.0,-5.0,-12.0,-22.0,2020-11-13
Chester,1012.0,2.0,1010.0,-2.0,-8.0,-17.0,2020-11-13
Coal Township,2268.0,4.0,2264.0,8.0,-29.0,-20.0,2020-11-13
Dallas,1980.0,2.0,1978.0,-1.0,-7.0,-17.0,2020-11-13
Frackville,1141.0,3.0,1138.0,-7.0,0.0,95.0,2020-11-13
Forest,2331.0,4.0,2327.0,-4.0,-10.0,16.0,2020-11-13
Fayette,1965.0,3.0,1962.0,-1.0,23.0,19.0,2020-11-13
Greene,1716.0,3.0,1713.0,13.0,-22.0,-2.0,2020-11-13
Houtzdale,2425.0,2.0,2423.0,-5.0,17.0,8.0,2020-11-13
Huntingdon,1695.0,1.0,1694.0,-1.0,-6.0,-11.0,2020-11-13
Laurel Highlands,838.0,13.0,825.0,-1.0,-6.0,-21.0,2020-11-13
Mahanoy,2273.0,5.0,2268.0,-5.0,14.0,3.0,2020-11-13
Mercer,1186.0,3.0,1183.0,-9.0,-16.0,-25.0,2020-11-13
Muncy,1063.0,10.0,1053.0,0.0,-9.0,-4.0,2020-11-13
Phoenix,2966.0,9.0,2957.0,-7.0,26.0,-5.0,2020-11-13
Pine Grove,950.0,3.0,947.0,-11.0,-12.0,-40.0,2020-11-13
Quehanna,362.0,0.0,362.0,12.0,20.0,45.0,2020-11-13
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-13
Rockview,1564.0,4.0,1560.0,-3.0,-7.0,-17.0,2020-11-13
Smithfield,1318.0,4.0,1314.0,-3.0,-12.0,-17.0,2020-11-13
Somerset,2199.0,0.0,2199.0,-3.0,-10.0,-23.0,2020-11-13
Waymart,985.0,7.0,978.0,-5.0,-6.0,-20.0,2020-11-13
SCI TOTAL,39352.0,114.0,39238.0,-43.0,-143.0,-88.0,2020-11-13
CCC/F East,655.0,0.0,655.0,6.0,-2.0,18.0,2020-11-13
CCC/F Central,804.0,0.0,804.0,-4.0,-20.0,-24.0,2020-11-13
CCC/F West,806.0,0.0,806.0,25.0,8.0,-17.0,2020-11-13
CCC/F TOTAL,2265.0,0.0,2265.0,27.0,-14.0,-23.0,2020-11-13
