date,SCI,population,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-12,Albion,2270.0,-2.0,-10.0,-21.0
2020-04-12,Benner,2065.0,-1.0,-10.0,-9.0
2020-04-12,Camp Hill,2875.0,-2.0,-33.0,-52.0
2020-04-12,Cambridge Springs,1156.0,-3.0,5.0,-2.0
2020-04-12,Chester,1077.0,0.0,-28.0,-44.0
2020-04-12,Coal Township,2127.0,0.0,-13.0,-18.0
2020-04-12,Dallas,2150.0,-2.0,-19.0,-36.0
2020-04-12,Frackville,1185.0,0.0,-17.0,-18.0
2020-04-12,Forest,2299.0,0.0,-3.0,0.0
2020-04-12,Fayette,1992.0,-5.0,-21.0,-38.0
2020-04-12,Greene,1780.0,-1.0,-7.0,-11.0
2020-04-12,Houtzdale,2487.0,-1.0,-14.0,-33.0
2020-04-12,Huntingdon,2010.0,-2.0,-17.0,-24.0
2020-04-12,Laurel Highlands,1416.0,-4.0,-21.0,-38.0
2020-04-12,Mahanoy,2339.0,0.0,-13.0,-29.0
2020-04-12,Mercer,1333.0,-1.0,-20.0,-28.0
2020-04-12,Muncy,1366.0,-4.0,-6.0,-10.0
2020-04-12,Phoenix,3130.0,-9.0,-40.0,-68.0
2020-04-12,Pine Grove,1024.0,-1.0,-10.0,-13.0
2020-04-12,Quehanna,390.0,0.0,-6.0,-22.0
2020-04-12,Retreat,480.0,20.0,153.0,289.0
2020-04-12,Rockview,2321.0,-1.0,-14.0,-20.0
2020-04-12,Smithfield,1297.0,0.0,-3.0,-6.0
2020-04-12,Somerset,2333.0,0.0,-15.0,-33.0
2020-04-12,Waymart,1357.0,-2.0,-18.0,-29.0
2020-04-12,SCI TOTAL,44259.0,-21.0,-200.0,-313.0
2020-04-12,CCC/F Eastern Region,1094.0,18.0,20.0,119.0
2020-04-12,CCC/F Central Region,1174.0,-11.0,-37.0,42.0
2020-04-12,CCC/F Western Region,849.0,-2.0,22.0,161.0
2020-04-12,CCC/F TOTAL,3117.0,5.0,5.0,322.0
