INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2217.0,4.0,2213.0,0.0,-2.0,33.0,2020-06-13
Benner,1986.0,4.0,1982.0,-1.0,-8.0,-26.0,2020-06-13
Camp Hill,2461.0,10.0,2451.0,-3.0,-25.0,-266.0,2020-06-13
Cambridge Springs,1035.0,19.0,1016.0,1.0,-20.0,-25.0,2020-06-13
Chester,899.0,3.0,896.0,0.0,-16.0,-33.0,2020-06-13
Coal Township,2062.0,4.0,2058.0,-1.0,-8.0,23.0,2020-06-13
Dallas,2146.0,3.0,2143.0,-1.0,-15.0,18.0,2020-06-13
Frackville,1186.0,4.0,1182.0,-1.0,-8.0,8.0,2020-06-13
Forest,2352.0,8.0,2344.0,0.0,2.0,27.0,2020-06-13
Fayette,1898.0,4.0,1894.0,-1.0,-10.0,16.0,2020-06-13
Greene,1745.0,4.0,1741.0,-4.0,-9.0,14.0,2020-06-13
Houtzdale,2406.0,4.0,2402.0,0.0,-2.0,-18.0,2020-06-13
Huntingdon,1881.0,1.0,1880.0,-1.0,-3.0,-6.0,2020-06-13
Laurel Highlands,1266.0,18.0,1248.0,-2.0,-18.0,-35.0,2020-06-13
Mahanoy,2290.0,7.0,2283.0,-2.0,-14.0,31.0,2020-06-13
Mercer,1289.0,3.0,1286.0,-1.0,-5.0,-17.0,2020-06-13
Muncy,1190.0,11.0,1179.0,0.0,-12.0,-48.0,2020-06-13
Phoenix,2886.0,8.0,2878.0,-1.0,-19.0,-52.0,2020-06-13
Pine Grove,1017.0,4.0,1013.0,-1.0,-2.0,11.0,2020-06-13
Quehanna,387.0,0.0,387.0,0.0,-5.0,-15.0,2020-06-13
Retreat,599.0,0.0,599.0,13.0,85.0,13.0,2020-06-13
Rockview,2013.0,8.0,2005.0,-1.0,-8.0,-20.0,2020-06-13
Smithfield,1267.0,5.0,1262.0,0.0,-6.0,7.0,2020-06-13
Somerset,2280.0,0.0,2280.0,-1.0,-4.0,-3.0,2020-06-13
Waymart,1205.0,11.0,1194.0,-2.0,-11.0,-29.0,2020-06-13
SCI TOTAL,41963.0,147.0,41816.0,-10.0,-143.0,-392.0,2020-06-13
CCC/F East,986.0,0.0,986.0,13.0,11.0,-9.0,2020-06-13
CCC/F Central,1021.0,0.0,1021.0,-5.0,-93.0,-104.0,2020-06-13
CCC/F West,684.0,0.0,684.0,2.0,-10.0,-39.0,2020-06-13
CCC/F TOTAL,2691.0,0.0,2691.0,10.0,-92.0,-152.0,2020-06-13
