date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-29,Albion,2243.0,2.0,2241.0,3.0,-2.0,-50.0
2020-04-29,Benner,2045.0,3.0,2042.0,-1.0,-5.0,-32.0
2020-04-29,Camp Hill,2999.0,8.0,2991.0,26.0,20.0,64.0
2020-04-29,Cambridge Springs,1130.0,16.0,1114.0,-1.0,-4.0,-44.0
2020-04-29,Chester,1015.0,1.0,1014.0,0.0,-13.0,-107.0
2020-04-29,Coal Township,2087.0,5.0,2082.0,-7.0,-7.0,-63.0
2020-04-29,Dallas,2160.0,3.0,2157.0,-1.0,27.0,-29.0
2020-04-29,Frackville,1171.0,3.0,1168.0,0.0,-2.0,-35.0
2020-04-29,Forest,2289.0,5.0,2284.0,6.0,4.0,-15.0
2020-04-29,Fayette,1948.0,3.0,1945.0,-1.0,-8.0,-85.0
2020-04-29,Greene,1754.0,2.0,1752.0,-2.0,-5.0,-39.0
2020-04-29,Houtzdale,2462.0,3.0,2459.0,-4.0,-8.0,-61.0
2020-04-29,Huntingdon,1988.0,1.0,1987.0,-1.0,-5.0,-47.0
2020-04-29,Laurel Highlands,1371.0,13.0,1358.0,-1.0,-3.0,-96.0
2020-04-29,Mahanoy,2301.0,3.0,2298.0,-3.0,-8.0,-70.0
2020-04-29,Mercer,1327.0,3.0,1324.0,-1.0,26.0,-37.0
2020-04-29,Muncy,1314.0,9.0,1305.0,1.0,-4.0,-71.0
2020-04-29,Phoenix,3036.0,8.0,3028.0,-10.0,-18.0,-170.0
2020-04-29,Pine Grove,1011.0,2.0,1009.0,0.0,0.0,-28.0
2020-04-29,Quehanna,318.0,0.0,318.0,0.0,0.0,-94.0
2020-04-29,Retreat,338.0,0.0,338.0,-7.0,14.0,147.0
2020-04-29,Rockview,2186.0,4.0,2182.0,-57.0,-122.0,-159.0
2020-04-29,Smithfield,1271.0,3.0,1268.0,-2.0,-6.0,-35.0
2020-04-29,Somerset,2310.0,0.0,2310.0,0.0,-3.0,-56.0
2020-04-29,Waymart,1320.0,10.0,1310.0,-1.0,-5.0,-76.0
2020-04-29,SCI TOTAL,43394.0,110.0,43284.0,-64.0,-137.0,-1288.0
2020-04-29,CCC/F East,1015.0,0.0,1015.0,-10.0,-13.0,40.0
2020-04-29,CCC/F Central,1186.0,0.0,1186.0,-10.0,-34.0,54.0
2020-04-29,CCC/F West,770.0,0.0,770.0,-66.0,-74.0,82.0
2020-04-29,CCC/F TOTAL,2971.0,0.0,2971.0,-86.0,-121.0,176.0
