SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2184.0,4.0,2180.0,-10.0,-10.0,-24.0,2020-12-03
Benner,1951.0,3.0,1948.0,-3.0,-14.0,-8.0,2020-12-03
Camp Hill,2188.0,7.0,2181.0,34.0,98.0,105.0,2020-12-03
Cambridge Springs,940.0,18.0,922.0,-2.0,-4.0,-4.0,2020-12-03
Chester,977.0,1.0,976.0,-6.0,-19.0,-11.0,2020-12-03
Coal Township,2272.0,4.0,2268.0,2.0,1.0,6.0,2020-12-03
Dallas,1926.0,2.0,1924.0,-1.0,-13.0,-10.0,2020-12-03
Frackville,1146.0,3.0,1143.0,-3.0,0.0,1.0,2020-12-03
Forest,2313.0,3.0,2310.0,-1.0,3.0,4.0,2020-12-03
Fayette,1971.0,3.0,1968.0,-2.0,0.0,2.0,2020-12-03
Greene,1743.0,2.0,1741.0,2.0,-5.0,-4.0,2020-12-03
Houtzdale,2425.0,2.0,2423.0,-3.0,-10.0,-3.0,2020-12-03
Huntingdon,1712.0,1.0,1711.0,0.0,27.0,30.0,2020-12-03
Laurel Highlands,800.0,13.0,787.0,0.0,-17.0,-5.0,2020-12-03
Mahanoy,2235.0,5.0,2230.0,-3.0,-18.0,-13.0,2020-12-03
Mercer,1140.0,3.0,1137.0,-8.0,-27.0,-15.0,2020-12-03
Muncy,1058.0,10.0,1048.0,-2.0,-12.0,-8.0,2020-12-03
Phoenix,2985.0,8.0,2977.0,0.0,-20.0,-10.0,2020-12-03
Pine Grove,914.0,3.0,911.0,-5.0,-20.0,-17.0,2020-12-03
Quehanna,356.0,0.0,356.0,-6.0,16.0,16.0,2020-12-03
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-03
Rockview,1526.0,4.0,1522.0,-1.0,-8.0,-8.0,2020-12-03
Smithfield,1298.0,4.0,1294.0,-2.0,-9.0,-7.0,2020-12-03
Somerset,2171.0,0.0,2171.0,0.0,-7.0,-4.0,2020-12-03
Waymart,971.0,7.0,964.0,-1.0,-5.0,-3.0,2020-12-03
SCI TOTAL,39202.0,110.0,39092.0,-21.0,-73.0,10.0,2020-12-03
CCC/F East,547.0,0.0,547.0,0.0,-21.0,-21.0,2020-12-03
CCC/F Central,743.0,0.0,743.0,0.0,-9.0,-9.0,2020-12-03
CCC/F West,704.0,0.0,704.0,0.0,-24.0,-24.0,2020-12-03
CCC/F TOTAL,1994.0,0.0,1994.0,0.0,-54.0,-54.0,2020-12-03
