SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2125.0,4.0,2121.0,-3.0,4.0,-3.0,2021-04-01
Benner,1961.0,3.0,1958.0,5.0,-1.0,5.0,2021-04-01
Camp Hill,2038.0,7.0,2031.0,23.0,-3.0,23.0,2021-04-01
Cambridge Springs,880.0,15.0,865.0,-5.0,0.0,-5.0,2021-04-01
Chester,1012.0,1.0,1011.0,-3.0,3.0,-3.0,2021-04-01
Coal Township,2058.0,4.0,2054.0,7.0,-26.0,7.0,2021-04-01
Dallas,1545.0,2.0,1543.0,-2.0,-12.0,-2.0,2021-04-01
Frackville,1097.0,3.0,1094.0,-1.0,2.0,-1.0,2021-04-01
Forest,2260.0,3.0,2257.0,-2.0,2.0,-2.0,2021-04-01
Fayette,1948.0,2.0,1946.0,4.0,10.0,4.0,2021-04-01
Greene,1684.0,2.0,1682.0,-3.0,1.0,-3.0,2021-04-01
Houtzdale,2353.0,2.0,2351.0,-6.0,-8.0,-6.0,2021-04-01
Huntingdon,1747.0,1.0,1746.0,-4.0,-10.0,-4.0,2021-04-01
Laurel Highlands,764.0,12.0,752.0,-3.0,-7.0,-3.0,2021-04-01
Mahanoy,2202.0,4.0,2198.0,-4.0,-7.0,-4.0,2021-04-01
Mercer,1047.0,3.0,1044.0,-3.0,3.0,-3.0,2021-04-01
Muncy,1065.0,8.0,1057.0,0.0,-13.0,0.0,2021-04-01
Phoenix,3015.0,8.0,3007.0,-4.0,-4.0,-4.0,2021-04-01
Pine Grove,931.0,3.0,928.0,6.0,10.0,6.0,2021-04-01
Quehanna,260.0,0.0,260.0,-18.0,-18.0,-18.0,2021-04-01
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-01
Rockview,1485.0,3.0,1482.0,-2.0,-4.0,-2.0,2021-04-01
Smithfield,1028.0,3.0,1025.0,-24.0,-46.0,-24.0,2021-04-01
Somerset,2167.0,0.0,2167.0,-2.0,9.0,-2.0,2021-04-01
Waymart,840.0,7.0,833.0,-1.0,-3.0,-1.0,2021-04-01
SCI TOTAL,37512.0,100.0,37412.0,-45.0,-118.0,-45.0,2021-04-01
CCC/F East,538.0,0.0,538.0,18.0,15.0,18.0,2021-04-01
CCC/F Central,646.0,0.0,646.0,24.0,16.0,24.0,2021-04-01
CCC/F West,541.0,0.0,541.0,14.0,7.0,14.0,2021-04-01
CCC/F TOTAL,1725.0,0.0,1725.0,56.0,38.0,56.0,2021-04-01
