SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2198.0,4.0,2194.0,19.0,15.0,-10.0,2020-12-10
Benner,1950.0,3.0,1947.0,0.0,0.0,-9.0,2020-12-10
Camp Hill,2172.0,7.0,2165.0,-74.0,-45.0,89.0,2020-12-10
Cambridge Springs,940.0,18.0,922.0,0.0,-1.0,-4.0,2020-12-10
Chester,965.0,1.0,964.0,-6.0,-11.0,-23.0,2020-12-10
Coal Township,2308.0,4.0,2304.0,-5.0,8.0,42.0,2020-12-10
Dallas,1923.0,2.0,1921.0,1.0,-1.0,-13.0,2020-12-10
Frackville,1141.0,3.0,1138.0,-1.0,-4.0,-4.0,2020-12-10
Forest,2308.0,3.0,2305.0,-2.0,-5.0,-1.0,2020-12-10
Fayette,1981.0,3.0,1978.0,19.0,11.0,12.0,2020-12-10
Greene,1745.0,2.0,1743.0,-4.0,-3.0,-2.0,2020-12-10
Houtzdale,2446.0,2.0,2444.0,26.0,22.0,18.0,2020-12-10
Huntingdon,1702.0,1.0,1701.0,-5.0,-10.0,20.0,2020-12-10
Laurel Highlands,791.0,13.0,778.0,1.0,-7.0,-14.0,2020-12-10
Mahanoy,2227.0,4.0,2223.0,-1.0,-5.0,-20.0,2020-12-10
Mercer,1125.0,3.0,1122.0,-2.0,-14.0,-30.0,2020-12-10
Muncy,1085.0,10.0,1075.0,26.0,22.0,19.0,2020-12-10
Phoenix,2959.0,8.0,2951.0,-2.0,-23.0,-36.0,2020-12-10
Pine Grove,906.0,3.0,903.0,0.0,-6.0,-25.0,2020-12-10
Quehanna,352.0,0.0,352.0,0.0,-4.0,12.0,2020-12-10
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-10
Rockview,1523.0,4.0,1519.0,-1.0,-3.0,-11.0,2020-12-10
Smithfield,1296.0,4.0,1292.0,3.0,1.0,-9.0,2020-12-10
Somerset,2169.0,0.0,2169.0,5.0,0.0,-6.0,2020-12-10
Waymart,966.0,7.0,959.0,-2.0,-4.0,-8.0,2020-12-10
SCI TOTAL,39178.0,109.0,39069.0,-5.0,-67.0,-13.0,2020-12-10
CCC/F East,444.0,0.0,444.0,-103.0,-103.0,-124.0,2020-12-10
CCC/F Central,464.0,0.0,464.0,-279.0,-279.0,-288.0,2020-12-10
CCC/F West,430.0,0.0,430.0,-274.0,-274.0,-298.0,2020-12-10
CCC/F TOTAL,1338.0,0.0,1338.0,-656.0,-656.0,-710.0,2020-12-10
