SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2201.0,4.0,2197.0,-7.0,7.0,-7.0,2020-12-01
Benner,1954.0,3.0,1951.0,-5.0,-11.0,-5.0,2020-12-01
Camp Hill,2130.0,7.0,2123.0,47.0,40.0,47.0,2020-12-01
Cambridge Springs,944.0,18.0,926.0,0.0,0.0,0.0,2020-12-01
Chester,985.0,1.0,984.0,-3.0,-11.0,-3.0,2020-12-01
Coal Township,2276.0,4.0,2272.0,10.0,5.0,10.0,2020-12-01
Dallas,1929.0,2.0,1927.0,-7.0,-10.0,-7.0,2020-12-01
Frackville,1143.0,3.0,1140.0,-2.0,-3.0,-2.0,2020-12-01
Forest,2310.0,3.0,2307.0,1.0,0.0,1.0,2020-12-01
Fayette,1966.0,3.0,1963.0,-3.0,-5.0,-3.0,2020-12-01
Greene,1748.0,2.0,1746.0,1.0,0.0,1.0,2020-12-01
Houtzdale,2428.0,2.0,2426.0,0.0,-7.0,0.0,2020-12-01
Huntingdon,1681.0,1.0,1680.0,-1.0,-4.0,-1.0,2020-12-01
Laurel Highlands,803.0,13.0,790.0,-2.0,-14.0,-2.0,2020-12-01
Mahanoy,2244.0,5.0,2239.0,-4.0,-9.0,-4.0,2020-12-01
Mercer,1155.0,3.0,1152.0,0.0,-12.0,0.0,2020-12-01
Muncy,1058.0,10.0,1048.0,-8.0,-12.0,-8.0,2020-12-01
Phoenix,2991.0,8.0,2983.0,-4.0,-14.0,-4.0,2020-12-01
Pine Grove,929.0,3.0,926.0,-2.0,-5.0,-2.0,2020-12-01
Quehanna,340.0,0.0,340.0,0.0,0.0,0.0,2020-12-01
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-01
Rockview,1530.0,4.0,1526.0,-4.0,-4.0,-4.0,2020-12-01
Smithfield,1304.0,4.0,1300.0,-1.0,-3.0,-1.0,2020-12-01
Somerset,2174.0,0.0,2174.0,-1.0,-4.0,-1.0,2020-12-01
Waymart,972.0,7.0,965.0,-2.0,-4.0,-2.0,2020-12-01
SCI TOTAL,39195.0,110.0,39085.0,3.0,-80.0,3.0,2020-12-01
CCC/F East,568.0,0.0,568.0,0.0,0.0,0.0,2020-12-01
CCC/F Central,752.0,0.0,752.0,0.0,0.0,0.0,2020-12-01
CCC/F West,728.0,0.0,728.0,0.0,0.0,0.0,2020-12-01
CCC/F TOTAL,2048.0,0.0,2048.0,0.0,0.0,0.0,2020-12-01
