SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2182.0,4.0,2178.0,-8.0,-10.0,-26.0,2020-12-17
Benner,2003.0,3.0,2000.0,55.0,49.0,44.0,2020-12-17
Camp Hill,2281.0,7.0,2274.0,82.0,115.0,198.0,2020-12-17
Cambridge Springs,935.0,17.0,918.0,-2.0,-3.0,-8.0,2020-12-17
Chester,955.0,1.0,954.0,-1.0,-4.0,-33.0,2020-12-17
Coal Township,2348.0,4.0,2344.0,13.0,30.0,82.0,2020-12-17
Dallas,1732.0,2.0,1730.0,-181.0,-188.0,-204.0,2020-12-17
Frackville,1129.0,3.0,1126.0,-3.0,-8.0,-16.0,2020-12-17
Forest,2301.0,3.0,2298.0,-1.0,-5.0,-8.0,2020-12-17
Fayette,1964.0,3.0,1961.0,-9.0,-16.0,-5.0,2020-12-17
Greene,1757.0,2.0,1755.0,-4.0,4.0,10.0,2020-12-17
Houtzdale,2436.0,2.0,2434.0,-6.0,-7.0,8.0,2020-12-17
Huntingdon,1693.0,1.0,1692.0,0.0,-6.0,11.0,2020-12-17
Laurel Highlands,781.0,13.0,768.0,-1.0,-2.0,-24.0,2020-12-17
Mahanoy,2211.0,4.0,2207.0,-9.0,-13.0,-36.0,2020-12-17
Mercer,1121.0,3.0,1118.0,-2.0,-3.0,-34.0,2020-12-17
Muncy,1080.0,10.0,1070.0,2.0,-2.0,14.0,2020-12-17
Phoenix,2950.0,8.0,2942.0,0.0,-7.0,-45.0,2020-12-17
Pine Grove,890.0,3.0,887.0,-9.0,-12.0,-41.0,2020-12-17
Quehanna,340.0,0.0,340.0,0.0,-1.0,0.0,2020-12-17
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-17
Rockview,1514.0,4.0,1510.0,-3.0,-7.0,-20.0,2020-12-17
Smithfield,1280.0,4.0,1276.0,-5.0,-11.0,-25.0,2020-12-17
Somerset,2145.0,0.0,2145.0,-12.0,-15.0,-30.0,2020-12-17
Waymart,960.0,7.0,953.0,0.0,-4.0,-14.0,2020-12-17
SCI TOTAL,38988.0,108.0,38880.0,-104.0,-126.0,-202.0,2020-12-17
CCC/F East,419.0,0.0,419.0,-1.0,-14.0,-149.0,2020-12-17
CCC/F Central,448.0,0.0,448.0,-10.0,-16.0,-304.0,2020-12-17
CCC/F West,435.0,0.0,435.0,11.0,-2.0,-293.0,2020-12-17
CCC/F TOTAL,1302.0,0.0,1302.0,0.0,-32.0,-746.0,2020-12-17
