SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2119.0,4.0,2115.0,-2.0,-2.0,-38.0,2021-03-30
Benner,1957.0,3.0,1954.0,-5.0,-5.0,11.0,2021-03-30
Camp Hill,2040.0,7.0,2033.0,-1.0,-1.0,-37.0,2021-03-30
Cambridge Springs,883.0,15.0,868.0,3.0,3.0,-6.0,2021-03-30
Chester,1014.0,1.0,1013.0,5.0,5.0,22.0,2021-03-30
Coal Township,2077.0,4.0,2073.0,-7.0,-7.0,-15.0,2021-03-30
Dallas,1557.0,2.0,1555.0,0.0,0.0,-45.0,2021-03-30
Frackville,1095.0,3.0,1092.0,0.0,0.0,-13.0,2021-03-30
Forest,2254.0,3.0,2251.0,-4.0,-4.0,16.0,2021-03-30
Fayette,1938.0,3.0,1935.0,-1.0,-1.0,-23.0,2021-03-30
Greene,1687.0,2.0,1685.0,4.0,4.0,-81.0,2021-03-30
Houtzdale,2356.0,2.0,2354.0,-5.0,-5.0,-22.0,2021-03-30
Huntingdon,1754.0,1.0,1753.0,-3.0,-3.0,-52.0,2021-03-30
Laurel Highlands,770.0,12.0,758.0,-1.0,-1.0,-20.0,2021-03-30
Mahanoy,2205.0,4.0,2201.0,-4.0,-4.0,20.0,2021-03-30
Mercer,1042.0,3.0,1039.0,-2.0,-2.0,-18.0,2021-03-30
Muncy,1069.0,8.0,1061.0,-9.0,-9.0,3.0,2021-03-30
Phoenix,3017.0,8.0,3009.0,-2.0,-2.0,43.0,2021-03-30
Pine Grove,923.0,3.0,920.0,2.0,2.0,-13.0,2021-03-30
Quehanna,267.0,0.0,267.0,-11.0,-11.0,-3.0,2021-03-30
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-30
Rockview,1485.0,3.0,1482.0,-4.0,-4.0,-35.0,2021-03-30
Smithfield,1038.0,3.0,1035.0,-36.0,-36.0,6.0,2021-03-30
Somerset,2156.0,0.0,2156.0,-2.0,-2.0,8.0,2021-03-30
Waymart,843.0,7.0,836.0,0.0,0.0,-29.0,2021-03-30
SCI TOTAL,37546.0,101.0,37445.0,-85.0,-85.0,-321.0,2021-03-30
CCC/F East,536.0,0.0,536.0,13.0,13.0,41.0,2021-03-30
CCC/F Central,630.0,0.0,630.0,0.0,0.0,12.0,2021-03-30
CCC/F West,544.0,0.0,544.0,10.0,10.0,57.0,2021-03-30
CCC/F TOTAL,1710.0,0.0,1710.0,23.0,23.0,110.0,2021-03-30
