SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2179.0,4.0,2175.0,-1.0,7.0,-29.0,2020-12-25
Benner,1952.0,3.0,1949.0,4.0,-30.0,-7.0,2020-12-25
Camp Hill,2421.0,7.0,2414.0,13.0,98.0,338.0,2020-12-25
Cambridge Springs,922.0,17.0,905.0,-2.0,-6.0,-21.0,2020-12-25
Chester,1045.0,1.0,1044.0,-1.0,39.0,57.0,2020-12-25
Coal Township,2307.0,4.0,2303.0,-23.0,-34.0,41.0,2020-12-25
Dallas,1712.0,2.0,1710.0,-1.0,-11.0,-224.0,2020-12-25
Frackville,1150.0,3.0,1147.0,15.0,16.0,5.0,2020-12-25
Forest,2297.0,3.0,2294.0,0.0,-2.0,-12.0,2020-12-25
Fayette,1970.0,3.0,1967.0,12.0,8.0,1.0,2020-12-25
Greene,1778.0,2.0,1776.0,-2.0,18.0,31.0,2020-12-25
Houtzdale,2433.0,2.0,2431.0,-2.0,-7.0,5.0,2020-12-25
Huntingdon,1791.0,1.0,1790.0,13.0,55.0,109.0,2020-12-25
Laurel Highlands,776.0,13.0,763.0,-1.0,-3.0,-29.0,2020-12-25
Mahanoy,2206.0,4.0,2202.0,-1.0,-13.0,-41.0,2020-12-25
Mercer,1098.0,3.0,1095.0,-2.0,-13.0,-57.0,2020-12-25
Muncy,1097.0,9.0,1088.0,5.0,7.0,32.0,2020-12-25
Phoenix,2900.0,8.0,2892.0,-2.0,-17.0,-95.0,2020-12-25
Pine Grove,903.0,3.0,900.0,-3.0,17.0,-28.0,2020-12-25
Quehanna,326.0,0.0,326.0,0.0,-1.0,-14.0,2020-12-25
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-25
Rockview,1592.0,4.0,1588.0,4.0,20.0,58.0,2020-12-25
Smithfield,1053.0,3.0,1050.0,-57.0,-200.0,-251.0,2020-12-25
Somerset,2147.0,0.0,2147.0,0.0,5.0,-28.0,2020-12-25
Waymart,955.0,7.0,948.0,0.0,-4.0,-19.0,2020-12-25
SCI TOTAL,39010.0,106.0,38904.0,-32.0,-51.0,-178.0,2020-12-25
CCC/F East,403.0,0.0,403.0,-6.0,-19.0,-165.0,2020-12-25
CCC/F Central,449.0,0.0,449.0,-17.0,-18.0,-303.0,2020-12-25
CCC/F West,419.0,0.0,419.0,-13.0,-14.0,-309.0,2020-12-25
CCC/F TOTAL,1271.0,0.0,1271.0,-36.0,-51.0,-777.0,2020-12-25
