SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2191.0,4.0,2187.0,-1.0,-1.0,-17.0,2020-12-15
Benner,1950.0,3.0,1947.0,-4.0,-4.0,-9.0,2020-12-15
Camp Hill,2162.0,7.0,2155.0,-4.0,-4.0,79.0,2020-12-15
Cambridge Springs,936.0,17.0,919.0,-2.0,-2.0,-7.0,2020-12-15
Chester,959.0,1.0,958.0,0.0,0.0,-29.0,2020-12-15
Coal Township,2325.0,4.0,2321.0,7.0,7.0,59.0,2020-12-15
Dallas,1915.0,2.0,1913.0,-5.0,-5.0,-21.0,2020-12-15
Frackville,1135.0,3.0,1132.0,-2.0,-2.0,-10.0,2020-12-15
Forest,2304.0,3.0,2301.0,-2.0,-2.0,-5.0,2020-12-15
Fayette,1972.0,3.0,1969.0,-8.0,-8.0,3.0,2020-12-15
Greene,1755.0,2.0,1753.0,2.0,2.0,8.0,2020-12-15
Houtzdale,2440.0,2.0,2438.0,-3.0,-3.0,12.0,2020-12-15
Huntingdon,1695.0,1.0,1694.0,-4.0,-4.0,13.0,2020-12-15
Laurel Highlands,784.0,13.0,771.0,1.0,1.0,-21.0,2020-12-15
Mahanoy,2222.0,4.0,2218.0,-2.0,-2.0,-25.0,2020-12-15
Mercer,1123.0,3.0,1120.0,-1.0,-1.0,-32.0,2020-12-15
Muncy,1082.0,10.0,1072.0,0.0,0.0,16.0,2020-12-15
Phoenix,2953.0,8.0,2945.0,-4.0,-4.0,-42.0,2020-12-15
Pine Grove,901.0,3.0,898.0,-1.0,-1.0,-30.0,2020-12-15
Quehanna,341.0,0.0,341.0,0.0,0.0,1.0,2020-12-15
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-15
Rockview,1517.0,4.0,1513.0,-4.0,-4.0,-17.0,2020-12-15
Smithfield,1288.0,4.0,1284.0,-3.0,-3.0,-17.0,2020-12-15
Somerset,2157.0,0.0,2157.0,-3.0,-3.0,-18.0,2020-12-15
Waymart,964.0,7.0,957.0,0.0,0.0,-10.0,2020-12-15
SCI TOTAL,39071.0,108.0,38963.0,-43.0,-43.0,-119.0,2020-12-15
CCC/F East,419.0,0.0,419.0,-14.0,-14.0,-149.0,2020-12-15
CCC/F Central,466.0,0.0,466.0,2.0,2.0,-286.0,2020-12-15
CCC/F West,435.0,0.0,435.0,-2.0,-2.0,-293.0,2020-12-15
CCC/F TOTAL,1320.0,0.0,1320.0,-14.0,-14.0,-728.0,2020-12-15
