SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2179.0,4.0,2175.0,8.0,0.0,-29.0,2020-12-31
Benner,1941.0,3.0,1938.0,-1.0,-11.0,-18.0,2020-12-31
Camp Hill,2421.0,7.0,2414.0,11.0,0.0,338.0,2020-12-31
Cambridge Springs,910.0,17.0,893.0,-7.0,-12.0,-33.0,2020-12-31
Chester,1059.0,1.0,1058.0,0.0,14.0,71.0,2020-12-31
Coal Township,2304.0,4.0,2300.0,5.0,-3.0,38.0,2020-12-31
Dallas,1708.0,2.0,1706.0,0.0,-4.0,-228.0,2020-12-31
Frackville,1143.0,3.0,1140.0,-1.0,-7.0,-2.0,2020-12-31
Forest,2303.0,3.0,2300.0,-1.0,6.0,-6.0,2020-12-31
Fayette,1974.0,3.0,1971.0,8.0,4.0,5.0,2020-12-31
Greene,1766.0,2.0,1764.0,-11.0,-12.0,19.0,2020-12-31
Houtzdale,2424.0,2.0,2422.0,-2.0,-9.0,-4.0,2020-12-31
Huntingdon,1811.0,1.0,1810.0,0.0,20.0,129.0,2020-12-31
Laurel Highlands,765.0,13.0,752.0,-2.0,-11.0,-40.0,2020-12-31
Mahanoy,2189.0,4.0,2185.0,-4.0,-17.0,-58.0,2020-12-31
Mercer,1089.0,3.0,1086.0,-1.0,-9.0,-66.0,2020-12-31
Muncy,1093.0,9.0,1084.0,3.0,-4.0,28.0,2020-12-31
Phoenix,2884.0,8.0,2876.0,2.0,-16.0,-111.0,2020-12-31
Pine Grove,916.0,3.0,913.0,14.0,13.0,-15.0,2020-12-31
Quehanna,321.0,0.0,321.0,-1.0,-5.0,-19.0,2020-12-31
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-31
Rockview,1593.0,4.0,1589.0,3.0,1.0,59.0,2020-12-31
Smithfield,956.0,3.0,953.0,-32.0,-97.0,-348.0,2020-12-31
Somerset,2142.0,0.0,2142.0,-2.0,-5.0,-33.0,2020-12-31
Waymart,951.0,7.0,944.0,-2.0,-4.0,-23.0,2020-12-31
SCI TOTAL,38842.0,106.0,38736.0,-13.0,-168.0,-346.0,2020-12-31
CCC/F East,416.0,0.0,416.0,-12.0,13.0,-152.0,2020-12-31
CCC/F Central,470.0,0.0,470.0,4.0,21.0,-282.0,2020-12-31
CCC/F West,405.0,0.0,405.0,-3.0,-14.0,-323.0,2020-12-31
CCC/F TOTAL,1291.0,0.0,1291.0,-11.0,20.0,-757.0,2020-12-31
