INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2239.0,2.0,2237.0,-4.0,-6.0,-54.0,2020-04-30
Benner,2043.0,3.0,2040.0,-2.0,-7.0,-34.0,2020-04-30
Camp Hill,2993.0,8.0,2985.0,-6.0,14.0,58.0,2020-04-30
Cambridge Springs,1129.0,15.0,1114.0,0.0,-4.0,-44.0,2020-04-30
Chester,1007.0,1.0,1006.0,-8.0,-21.0,-115.0,2020-04-30
Coal Township,2086.0,5.0,2081.0,-1.0,-8.0,-64.0,2020-04-30
Dallas,2153.0,3.0,2150.0,-7.0,20.0,-36.0,2020-04-30
Frackville,1170.0,3.0,1167.0,-1.0,-3.0,-36.0,2020-04-30
Forest,2328.0,5.0,2323.0,39.0,43.0,24.0,2020-04-30
Fayette,1941.0,3.0,1938.0,-7.0,-15.0,-92.0,2020-04-30
Greene,1759.0,2.0,1757.0,5.0,0.0,-34.0,2020-04-30
Houtzdale,2457.0,3.0,2454.0,-5.0,-13.0,-66.0,2020-04-30
Huntingdon,1983.0,1.0,1982.0,-5.0,-10.0,-52.0,2020-04-30
Laurel Highlands,1366.0,13.0,1353.0,-5.0,-8.0,-101.0,2020-04-30
Mahanoy,2297.0,3.0,2294.0,-4.0,-12.0,-74.0,2020-04-30
Mercer,1326.0,3.0,1323.0,-1.0,25.0,-38.0,2020-04-30
Muncy,1305.0,9.0,1296.0,-9.0,-13.0,-80.0,2020-04-30
Phoenix,3031.0,8.0,3023.0,-5.0,-23.0,-175.0,2020-04-30
Pine Grove,1026.0,2.0,1024.0,15.0,15.0,-13.0,2020-04-30
Quehanna,303.0,0.0,303.0,-15.0,-15.0,-109.0,2020-04-30
Retreat,358.0,0.0,358.0,20.0,34.0,167.0,2020-04-30
Rockview,2140.0,4.0,2136.0,-46.0,-168.0,-205.0,2020-04-30
Smithfield,1268.0,3.0,1265.0,-3.0,-9.0,-38.0,2020-04-30
Somerset,2305.0,0.0,2305.0,-5.0,-8.0,-61.0,2020-04-30
Waymart,1316.0,10.0,1306.0,-4.0,-9.0,-80.0,2020-04-30
SCI TOTAL,43329.0,109.0,43220.0,-64.0,-201.0,-1352.0,2020-04-30
CCC/F East,1025.0,0.0,1025.0,10.0,-3.0,50.0,2020-04-30
CCC/F Central,1193.0,0.0,1193.0,7.0,-27.0,61.0,2020-04-30
CCC/F West,734.0,0.0,734.0,-36.0,-110.0,46.0,2020-04-30
CCC/F TOTAL,2952.0,0.0,2952.0,-19.0,-140.0,157.0,2020-04-30
