SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2123.0,4.0,2119.0,-5.0,0.0,-34.0,2021-03-26
Benner,1964.0,3.0,1961.0,4.0,8.0,18.0,2021-03-26
Camp Hill,2060.0,7.0,2053.0,14.0,90.0,-17.0,2021-03-26
Cambridge Springs,884.0,15.0,869.0,0.0,1.0,-5.0,2021-03-26
Chester,1002.0,1.0,1001.0,-9.0,-12.0,10.0,2021-03-26
Coal Township,2089.0,4.0,2085.0,10.0,-11.0,-3.0,2021-03-26
Dallas,1558.0,2.0,1556.0,-2.0,-7.0,-44.0,2021-03-26
Frackville,1098.0,3.0,1095.0,-2.0,-6.0,-10.0,2021-03-26
Forest,2260.0,3.0,2257.0,-4.0,-9.0,22.0,2021-03-26
Fayette,1941.0,3.0,1938.0,-9.0,-13.0,-20.0,2021-03-26
Greene,1686.0,2.0,1684.0,-8.0,-25.0,-82.0,2021-03-26
Houtzdale,2362.0,2.0,2360.0,-6.0,-9.0,-16.0,2021-03-26
Huntingdon,1758.0,1.0,1757.0,-6.0,-7.0,-48.0,2021-03-26
Laurel Highlands,771.0,12.0,759.0,-3.0,-3.0,-19.0,2021-03-26
Mahanoy,2212.0,4.0,2208.0,3.0,6.0,27.0,2021-03-26
Mercer,1043.0,3.0,1040.0,-3.0,-4.0,-17.0,2021-03-26
Muncy,1076.0,8.0,1068.0,0.0,2.0,10.0,2021-03-26
Phoenix,3025.0,8.0,3017.0,2.0,-13.0,51.0,2021-03-26
Pine Grove,924.0,3.0,921.0,-2.0,-2.0,-12.0,2021-03-26
Quehanna,277.0,0.0,277.0,-4.0,0.0,7.0,2021-03-26
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-26
Rockview,1489.0,3.0,1486.0,-3.0,-7.0,-31.0,2021-03-26
Smithfield,1016.0,3.0,1013.0,7.0,-41.0,-16.0,2021-03-26
Somerset,2160.0,0.0,2160.0,11.0,9.0,12.0,2021-03-26
Waymart,844.0,7.0,837.0,-3.0,-9.0,-28.0,2021-03-26
SCI TOTAL,37622.0,101.0,37521.0,-18.0,-62.0,-245.0,2021-03-26
CCC/F East,510.0,0.0,510.0,-7.0,6.0,15.0,2021-03-26
CCC/F Central,638.0,0.0,638.0,11.0,2.0,20.0,2021-03-26
CCC/F West,538.0,0.0,538.0,7.0,5.0,51.0,2021-03-26
CCC/F TOTAL,1686.0,0.0,1686.0,11.0,13.0,86.0,2021-03-26
