SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2152.0,4.0,2148.0,-2.0,-4.0,11.0,2021-02-18
Benner,1959.0,3.0,1956.0,2.0,6.0,6.0,2021-02-18
Camp Hill,2066.0,7.0,2059.0,40.0,38.0,-95.0,2021-02-18
Cambridge Springs,878.0,16.0,862.0,-5.0,-4.0,-4.0,2021-02-18
Chester,967.0,1.0,966.0,11.0,10.0,-4.0,2021-02-18
Coal Township,2164.0,4.0,2160.0,-1.0,-8.0,-53.0,2021-02-18
Dallas,1617.0,2.0,1615.0,-2.0,-5.0,-36.0,2021-02-18
Frackville,1108.0,3.0,1105.0,-4.0,1.0,-5.0,2021-02-18
Forest,2228.0,3.0,2225.0,-4.0,-9.0,-23.0,2021-02-18
Fayette,1980.0,3.0,1977.0,3.0,-2.0,-2.0,2021-02-18
Greene,1757.0,2.0,1755.0,17.0,12.0,-2.0,2021-02-18
Houtzdale,2374.0,2.0,2372.0,-4.0,-10.0,-22.0,2021-02-18
Huntingdon,1817.0,1.0,1816.0,0.0,-4.0,-17.0,2021-02-18
Laurel Highlands,797.0,13.0,784.0,-4.0,-4.0,-24.0,2021-02-18
Mahanoy,2187.0,4.0,2183.0,-3.0,-6.0,1.0,2021-02-18
Mercer,1063.0,3.0,1060.0,-2.0,-10.0,-19.0,2021-02-18
Muncy,1073.0,8.0,1065.0,1.0,5.0,-25.0,2021-02-18
Phoenix,2973.0,8.0,2965.0,-1.0,-14.0,2.0,2021-02-18
Pine Grove,915.0,3.0,912.0,-3.0,-5.0,-7.0,2021-02-18
Quehanna,257.0,0.0,257.0,5.0,5.0,-30.0,2021-02-18
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-18
Rockview,1540.0,4.0,1536.0,9.0,8.0,-5.0,2021-02-18
Smithfield,1153.0,3.0,1150.0,-62.0,-48.0,122.0,2021-02-18
Somerset,2140.0,0.0,2140.0,6.0,1.0,0.0,2021-02-18
Waymart,884.0,7.0,877.0,-2.0,-2.0,-27.0,2021-02-18
SCI TOTAL,38049.0,104.0,37945.0,-5.0,-49.0,-258.0,2021-02-18
CCC/F East,469.0,0.0,469.0,10.0,2.0,7.0,2021-02-18
CCC/F Central,575.0,0.0,575.0,-14.0,-14.0,31.0,2021-02-18
CCC/F West,446.0,0.0,446.0,-26.0,-27.0,-6.0,2021-02-18
CCC/F TOTAL,1490.0,0.0,1490.0,-30.0,-39.0,32.0,2021-02-18
