date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-10-25,Albion,2191.0,4.0,2187.0,0.0,-12.0,-16.0
2020-10-25,Benner,1966.0,3.0,1963.0,-1.0,-8.0,-25.0
2020-10-25,Camp Hill,2132.0,7.0,2125.0,52.0,193.0,-106.0
2020-10-25,Cambridge Springs,965.0,18.0,947.0,-1.0,-1.0,-17.0
2020-10-25,Chester,1040.0,2.0,1038.0,-5.0,-16.0,70.0
2020-10-25,Coal Township,2290.0,4.0,2286.0,13.0,56.0,103.0
2020-10-25,Dallas,2080.0,2.0,2078.0,-4.0,-21.0,-30.0
2020-10-25,Frackville,1015.0,3.0,1012.0,-3.0,-11.0,-23.0
2020-10-25,Forest,2319.0,4.0,2315.0,0.0,-6.0,-27.0
2020-10-25,Fayette,1938.0,3.0,1935.0,-2.0,-4.0,-39.0
2020-10-25,Greene,1704.0,3.0,1701.0,3.0,10.0,33.0
2020-10-25,Houtzdale,2427.0,2.0,2425.0,-1.0,-7.0,-12.0
2020-10-25,Huntingdon,1743.0,1.0,1742.0,-28.0,-45.0,4.0
2020-10-25,Laurel Highlands,867.0,13.0,854.0,-1.0,-9.0,-31.0
2020-10-25,Mahanoy,2276.0,5.0,2271.0,-8.0,-11.0,-35.0
2020-10-25,Mercer,1225.0,3.0,1222.0,-2.0,-18.0,-47.0
2020-10-25,Muncy,1079.0,10.0,1069.0,1.0,-12.0,12.0
2020-10-25,Phoenix,2898.0,9.0,2889.0,1.0,-45.0,77.0
2020-10-25,Pine Grove,1000.0,3.0,997.0,0.0,-5.0,-24.0
2020-10-25,Quehanna,339.0,0.0,339.0,0.0,-9.0,-77.0
2020-10-25,Retreat,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,Rockview,1594.0,5.0,1589.0,-2.0,-8.0,-45.0
2020-10-25,Smithfield,1350.0,4.0,1346.0,-2.0,-6.0,-27.0
2020-10-25,Somerset,2228.0,0.0,2228.0,-1.0,-10.0,-31.0
2020-10-25,Waymart,1013.0,8.0,1005.0,-2.0,-9.0,-32.0
2020-10-25,SCI TOTAL,39679.0,116.0,39563.0,7.0,-14.0,-345.0
2020-10-25,CCC/F East,645.0,0.0,645.0,16.0,10.0,33.0
2020-10-25,CCC/F Central,818.0,0.0,818.0,2.0,-25.0,-62.0
2020-10-25,CCC/F West,814.0,0.0,814.0,23.0,2.0,76.0
2020-10-25,CCC/F TOTAL,2277.0,0.0,2277.0,41.0,-13.0,47.0
