INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2203.0,4.0,2199.0,-8.0,-6.0,-4.0,2020-10-15
Benner,1975.0,3.0,1972.0,-2.0,-8.0,-16.0,2020-10-15
Camp Hill,2086.0,7.0,2079.0,-44.0,-121.0,-152.0,2020-10-15
Cambridge Springs,966.0,18.0,948.0,0.0,2.0,-16.0,2020-10-15
Chester,1058.0,2.0,1056.0,25.0,98.0,88.0,2020-10-15
Coal Township,2221.0,4.0,2217.0,23.0,24.0,34.0,2020-10-15
Dallas,2102.0,2.0,2100.0,-6.0,1.0,-8.0,2020-10-15
Frackville,1028.0,3.0,1025.0,-2.0,-5.0,-10.0,2020-10-15
Forest,2327.0,4.0,2323.0,-4.0,-10.0,-19.0,2020-10-15
Fayette,1941.0,3.0,1938.0,-6.0,-11.0,-36.0,2020-10-15
Greene,1684.0,3.0,1681.0,4.0,-6.0,13.0,2020-10-15
Houtzdale,2434.0,2.0,2432.0,-3.0,1.0,-5.0,2020-10-15
Huntingdon,1791.0,1.0,1790.0,-6.0,-22.0,52.0,2020-10-15
Laurel Highlands,877.0,13.0,864.0,-2.0,-2.0,-21.0,2020-10-15
Mahanoy,2287.0,5.0,2282.0,-7.0,-14.0,-24.0,2020-10-15
Mercer,1246.0,3.0,1243.0,1.0,-4.0,-26.0,2020-10-15
Muncy,1079.0,10.0,1069.0,-2.0,-9.0,12.0,2020-10-15
Phoenix,2803.0,9.0,2794.0,-3.0,16.0,-18.0,2020-10-15
Pine Grove,1008.0,3.0,1005.0,-2.0,-4.0,-16.0,2020-10-15
Quehanna,348.0,0.0,348.0,-4.0,-5.0,-68.0,2020-10-15
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-15
Rockview,1603.0,5.0,1598.0,-3.0,-8.0,-36.0,2020-10-15
Smithfield,1357.0,4.0,1353.0,-1.0,-7.0,-20.0,2020-10-15
Somerset,2238.0,0.0,2238.0,-6.0,-10.0,-21.0,2020-10-15
Waymart,1024.0,8.0,1016.0,-5.0,-11.0,-21.0,2020-10-15
SCI TOTAL,39686.0,116.0,39570.0,-63.0,-121.0,-338.0,2020-10-15
CCC/F East,616.0,0.0,616.0,0.0,-4.0,4.0,2020-10-15
CCC/F Central,838.0,0.0,838.0,0.0,-23.0,-42.0,2020-10-15
CCC/F West,801.0,0.0,801.0,0.0,-9.0,63.0,2020-10-15
CCC/F TOTAL,2255.0,0.0,2255.0,0.0,-36.0,25.0,2020-10-15
