date,SCI,population,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-15,Albion,2264.0,-5.0,-6.0,-27.0
2020-04-15,Benner,2058.0,-5.0,-7.0,-16.0
2020-04-15,Camp Hill,2862.0,-10.0,-13.0,-65.0
2020-04-15,Cambridge Springs,1161.0,-4.0,5.0,3.0
2020-04-15,Chester,1062.0,-8.0,-15.0,-59.0
2020-04-15,Coal Township,2121.0,-3.0,-6.0,-24.0
2020-04-15,Dallas,2146.0,-2.0,-4.0,-40.0
2020-04-15,Frackville,1181.0,-3.0,-4.0,-22.0
2020-04-15,Forest,2292.0,-2.0,-7.0,-7.0
2020-04-15,Fayette,1985.0,-3.0,-7.0,-45.0
2020-04-15,Greene,1773.0,0.0,-7.0,-18.0
2020-04-15,Houtzdale,2483.0,-1.0,-4.0,-37.0
2020-04-15,Huntingdon,2005.0,-2.0,-5.0,-29.0
2020-04-15,Laurel Highlands,1401.0,-10.0,-15.0,-53.0
2020-04-15,Mahanoy,2333.0,-4.0,-6.0,-35.0
2020-04-15,Mercer,1333.0,0.0,0.0,-28.0
2020-04-15,Muncy,1348.0,-5.0,-18.0,-28.0
2020-04-15,Phoenix,3116.0,-9.0,-14.0,-82.0
2020-04-15,Pine Grove,1020.0,-3.0,-4.0,-17.0
2020-04-15,Quehanna,390.0,0.0,0.0,-22.0
2020-04-15,Retreat,481.0,1.0,1.0,290.0
2020-04-15,Rockview,2320.0,-1.0,-1.0,-21.0
2020-04-15,Smithfield,1291.0,-4.0,-6.0,-12.0
2020-04-15,Somerset,2324.0,-3.0,-9.0,-42.0
2020-04-15,Waymart,1348.0,-6.0,-9.0,-38.0
2020-04-15,SCI TOTAL,44098.0,-92.0,-161.0,-474.0
2020-04-15,CCC/F Eastern Region,1066.0,3.0,-28.0,91.0
2020-04-15,CCC/F Central Region,1194.0,96.0,20.0,62.0
2020-04-15,CCC/F Western Region,844.0,-7.0,-5.0,156.0
2020-04-15,CCC/F TOTAL,3104.0,92.0,-13.0,309.0
