INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2200.0,4.0,2196.0,14.0,12.0,29.0,2020-11-10
Benner,1939.0,3.0,1936.0,1.0,1.0,-15.0,2020-11-10
Camp Hill,2001.0,7.0,1994.0,-108.0,-111.0,-54.0,2020-11-10
Cambridge Springs,958.0,18.0,940.0,3.0,-2.0,-12.0,2020-11-10
Chester,1014.0,2.0,1012.0,-3.0,-6.0,-15.0,2020-11-10
Coal Township,2318.0,4.0,2314.0,20.0,21.0,30.0,2020-11-10
Dallas,1982.0,2.0,1980.0,-2.0,-5.0,-15.0,2020-11-10
Frackville,1137.0,3.0,1134.0,-1.0,-4.0,91.0,2020-11-10
Forest,2334.0,4.0,2330.0,-2.0,-7.0,19.0,2020-11-10
Fayette,1961.0,3.0,1958.0,25.0,19.0,15.0,2020-11-10
Greene,1735.0,3.0,1732.0,-3.0,-3.0,17.0,2020-11-10
Houtzdale,2412.0,2.0,2410.0,3.0,4.0,-5.0,2020-11-10
Huntingdon,1698.0,1.0,1697.0,-1.0,-3.0,-8.0,2020-11-10
Laurel Highlands,842.0,13.0,829.0,-1.0,-2.0,-17.0,2020-11-10
Mahanoy,2254.0,5.0,2249.0,-2.0,-5.0,-16.0,2020-11-10
Mercer,1199.0,3.0,1196.0,0.0,-3.0,-12.0,2020-11-10
Muncy,1072.0,10.0,1062.0,1.0,0.0,5.0,2020-11-10
Phoenix,2964.0,9.0,2955.0,31.0,24.0,-7.0,2020-11-10
Pine Grove,961.0,3.0,958.0,0.0,-1.0,-29.0,2020-11-10
Quehanna,339.0,0.0,339.0,0.0,-3.0,22.0,2020-11-10
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-10
Rockview,1569.0,4.0,1565.0,-1.0,-2.0,-12.0,2020-11-10
Smithfield,1326.0,4.0,1322.0,-2.0,-4.0,-9.0,2020-11-10
Somerset,2203.0,0.0,2203.0,0.0,-6.0,-19.0,2020-11-10
Waymart,989.0,7.0,982.0,-2.0,-2.0,-16.0,2020-11-10
SCI TOTAL,39407.0,114.0,39293.0,-30.0,-88.0,-33.0,2020-11-10
CCC/F East,657.0,0.0,657.0,0.0,0.0,20.0,2020-11-10
CCC/F Central,824.0,0.0,824.0,0.0,0.0,-4.0,2020-11-10
CCC/F West,798.0,0.0,798.0,0.0,0.0,-25.0,2020-11-10
CCC/F TOTAL,2279.0,0.0,2279.0,0.0,0.0,-9.0,2020-11-10
