date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-17,Albion,2261.0,0.0,2261.0,-2.0,-9.0,-30.0
2020-04-17,Benner,2055.0,0.0,2055.0,-2.0,-10.0,-19.0
2020-04-17,Camp Hill,2853.0,0.0,2853.0,-4.0,-22.0,-74.0
2020-04-17,Cambridge Springs,1156.0,0.0,1156.0,-4.0,0.0,-2.0
2020-04-17,Chester,1048.0,0.0,1048.0,-1.0,-29.0,-73.0
2020-04-17,Coal Township,2116.0,0.0,2116.0,-3.0,-11.0,-29.0
2020-04-17,Dallas,2145.0,0.0,2145.0,0.0,-5.0,-41.0
2020-04-17,Frackville,1180.0,0.0,1180.0,-2.0,-5.0,-23.0
2020-04-17,Forest,2290.0,0.0,2290.0,0.0,-9.0,-9.0
2020-04-17,Fayette,1982.0,0.0,1982.0,-2.0,-10.0,-48.0
2020-04-17,Greene,1770.0,0.0,1770.0,-1.0,-10.0,-21.0
2020-04-17,Houtzdale,2482.0,0.0,2482.0,1.0,-5.0,-38.0
2020-04-17,Huntingdon,2002.0,0.0,2002.0,0.0,-8.0,-32.0
2020-04-17,Laurel Highlands,1396.0,0.0,1396.0,-3.0,-20.0,-58.0
2020-04-17,Mahanoy,2325.0,0.0,2325.0,-1.0,-14.0,-43.0
2020-04-17,Mercer,1320.0,0.0,1320.0,-9.0,-13.0,-41.0
2020-04-17,Muncy,1342.0,0.0,1342.0,-5.0,-24.0,-34.0
2020-04-17,Phoenix,3097.0,6.0,3091.0,-12.0,-39.0,-107.0
2020-04-17,Pine Grove,1014.0,0.0,1014.0,-2.0,-10.0,-23.0
2020-04-17,Quehanna,375.0,0.0,375.0,-15.0,-15.0,-37.0
2020-04-17,Retreat,484.0,0.0,484.0,3.0,4.0,293.0
2020-04-17,Rockview,2317.0,0.0,2317.0,-1.0,-4.0,-24.0
2020-04-17,Smithfield,1290.0,2.0,1288.0,-3.0,-9.0,-15.0
2020-04-17,Somerset,2322.0,0.0,2322.0,2.0,-11.0,-44.0
2020-04-17,Waymart,1341.0,4.0,1337.0,-7.0,-20.0,-49.0
2020-04-17,SCI TOTAL,43963.0,12.0,43951.0,-73.0,-308.0,-621.0
2020-04-17,CCC/F East,1079.0,0.0,1079.0,8.0,-15.0,104.0
2020-04-17,CCC/F Central,1210.0,0.0,1210.0,5.0,36.0,78.0
2020-04-17,CCC/F West,870.0,0.0,870.0,9.0,21.0,182.0
2020-04-17,CCC/F TOTAL,3159.0,0.0,3159.0,22.0,42.0,364.0
