date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-05-29,Albion,2185.0,4.0,2181.0,-2.0,-2.0,-56.0
2020-05-29,Benner,2012.0,4.0,2008.0,-1.0,-6.0,-32.0
2020-05-29,Camp Hill,2764.0,10.0,2754.0,-59.0,-184.0,-231.0
2020-05-29,Cambridge Springs,1062.0,18.0,1044.0,3.0,-7.0,-70.0
2020-05-29,Chester,932.0,3.0,929.0,0.0,-14.0,-77.0
2020-05-29,Coal Township,2045.0,4.0,2041.0,-2.0,5.0,-40.0
2020-05-29,Dallas,2128.0,3.0,2125.0,27.0,20.0,-25.0
2020-05-29,Frackville,1180.0,4.0,1176.0,0.0,17.0,9.0
2020-05-29,Forest,2324.0,7.0,2317.0,1.0,17.0,-6.0
2020-05-29,Fayette,1863.0,4.0,1859.0,-3.0,-22.0,-79.0
2020-05-29,Greene,1734.0,4.0,1730.0,-2.0,-5.0,-27.0
2020-05-29,Houtzdale,2401.0,4.0,2397.0,-3.0,-9.0,-57.0
2020-05-29,Huntingdon,1888.0,1.0,1887.0,-3.0,-8.0,-95.0
2020-05-29,Laurel Highlands,1304.0,15.0,1289.0,-1.0,-10.0,-64.0
2020-05-29,Mahanoy,2259.0,6.0,2253.0,-2.0,5.0,-41.0
2020-05-29,Mercer,1312.0,3.0,1309.0,28.0,22.0,-14.0
2020-05-29,Muncy,1239.0,11.0,1228.0,-3.0,-23.0,-68.0
2020-05-29,Phoenix,2945.0,9.0,2936.0,-7.0,-19.0,-87.0
2020-05-29,Pine Grove,1009.0,4.0,1005.0,0.0,8.0,-19.0
2020-05-29,Quehanna,402.0,0.0,402.0,0.0,-11.0,99.0
2020-05-29,Retreat,600.0,0.0,600.0,30.0,69.0,242.0
2020-05-29,Rockview,2033.0,7.0,2026.0,-1.0,-6.0,-110.0
2020-05-29,Smithfield,1262.0,5.0,1257.0,0.0,14.0,-8.0
2020-05-29,Somerset,2264.0,0.0,2264.0,0.0,-5.0,-41.0
2020-05-29,Waymart,1239.0,11.0,1228.0,0.0,-9.0,-78.0
2020-05-29,SCI TOTAL,42386.0,141.0,42245.0,0.0,-163.0,-975.0
2020-05-29,CCC/F East,1019.0,0.0,1019.0,15.0,-12.0,-6.0
2020-05-29,CCC/F Central,1131.0,0.0,1131.0,23.0,-33.0,-62.0
2020-05-29,CCC/F West,724.0,0.0,724.0,2.0,-12.0,-10.0
2020-05-29,CCC/F TOTAL,2874.0,0.0,2874.0,40.0,-57.0,-78.0
