SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2128.0,4.0,2124.0,-4.0,3.0,0.0,2021-04-12
Benner,1948.0,3.0,1945.0,-6.0,-7.0,-8.0,2021-04-12
Camp Hill,2058.0,7.0,2051.0,-5.0,23.0,43.0,2021-04-12
Cambridge Springs,886.0,15.0,871.0,-2.0,6.0,1.0,2021-04-12
Chester,1000.0,1.0,999.0,-1.0,-12.0,-15.0,2021-04-12
Coal Township,2018.0,4.0,2014.0,7.0,-31.0,-33.0,2021-04-12
Dallas,1526.0,2.0,1524.0,-1.0,-17.0,-21.0,2021-04-12
Frackville,1094.0,3.0,1091.0,-1.0,-3.0,-4.0,2021-04-12
Forest,2247.0,3.0,2244.0,-7.0,-9.0,-15.0,2021-04-12
Fayette,1947.0,2.0,1945.0,-5.0,-1.0,3.0,2021-04-12
Greene,1672.0,2.0,1670.0,-7.0,-9.0,-15.0,2021-04-12
Houtzdale,2356.0,2.0,2354.0,-2.0,5.0,-3.0,2021-04-12
Huntingdon,1737.0,1.0,1736.0,-1.0,-8.0,-14.0,2021-04-12
Laurel Highlands,764.0,12.0,752.0,0.0,-1.0,-3.0,2021-04-12
Mahanoy,2213.0,4.0,2209.0,-1.0,5.0,7.0,2021-04-12
Mercer,1041.0,3.0,1038.0,-1.0,-5.0,-9.0,2021-04-12
Muncy,1067.0,8.0,1059.0,7.0,4.0,2.0,2021-04-12
Phoenix,3035.0,8.0,3027.0,-1.0,22.0,16.0,2021-04-12
Pine Grove,931.0,3.0,928.0,-1.0,1.0,6.0,2021-04-12
Quehanna,210.0,0.0,210.0,0.0,-50.0,-68.0,2021-04-12
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-12
Rockview,1465.0,3.0,1462.0,0.0,-17.0,-22.0,2021-04-12
Smithfield,1100.0,3.0,1097.0,51.0,26.0,48.0,2021-04-12
Somerset,2166.0,0.0,2166.0,-4.0,-2.0,-3.0,2021-04-12
Waymart,834.0,7.0,827.0,0.0,-6.0,-7.0,2021-04-12
SCI TOTAL,37443.0,100.0,37343.0,15.0,-83.0,-114.0,2021-04-12
CCC/F East,531.0,0.0,531.0,1.0,-11.0,11.0,2021-04-12
CCC/F Central,656.0,0.0,656.0,11.0,14.0,34.0,2021-04-12
CCC/F West,548.0,0.0,548.0,4.0,11.0,21.0,2021-04-12
CCC/F TOTAL,1735.0,0.0,1735.0,16.0,14.0,66.0,2021-04-12
