SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2156.0,4.0,2152.0,-2.0,-2.0,-1.0,2021-03-02
Benner,1946.0,3.0,1943.0,6.0,6.0,0.0,2021-03-02
Camp Hill,2077.0,7.0,2070.0,3.0,3.0,0.0,2021-03-02
Cambridge Springs,888.0,15.0,873.0,8.0,8.0,-1.0,2021-03-02
Chester,992.0,1.0,991.0,10.0,10.0,0.0,2021-03-02
Coal Township,2088.0,4.0,2084.0,-13.0,-13.0,-4.0,2021-03-02
Dallas,1602.0,2.0,1600.0,0.0,0.0,0.0,2021-03-02
Frackville,1107.0,3.0,1104.0,-4.0,-4.0,-1.0,2021-03-02
Forest,2238.0,3.0,2235.0,-1.0,-1.0,0.0,2021-03-02
Fayette,1961.0,3.0,1958.0,-1.0,-1.0,0.0,2021-03-02
Greene,1768.0,2.0,1766.0,-3.0,-3.0,0.0,2021-03-02
Houtzdale,2377.0,2.0,2375.0,1.0,1.0,-1.0,2021-03-02
Huntingdon,1806.0,1.0,1805.0,-3.0,-3.0,0.0,2021-03-02
Laurel Highlands,791.0,13.0,778.0,-1.0,-1.0,0.0,2021-03-02
Mahanoy,2182.0,4.0,2178.0,-4.0,-4.0,-3.0,2021-03-02
Mercer,1060.0,3.0,1057.0,-3.0,-3.0,0.0,2021-03-02
Muncy,1066.0,8.0,1058.0,-11.0,-11.0,0.0,2021-03-02
Phoenix,2973.0,8.0,2965.0,-8.0,-8.0,-1.0,2021-03-02
Pine Grove,936.0,3.0,933.0,1.0,1.0,0.0,2021-03-02
Quehanna,270.0,0.0,270.0,0.0,0.0,0.0,2021-03-02
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-02
Rockview,1521.0,4.0,1517.0,-1.0,-1.0,0.0,2021-03-02
Smithfield,1038.0,3.0,1035.0,-36.0,-36.0,6.0,2021-03-02
Somerset,2144.0,0.0,2144.0,-1.0,-1.0,-4.0,2021-03-02
Waymart,872.0,7.0,865.0,-2.0,-2.0,0.0,2021-03-02
SCI TOTAL,37859.0,103.0,37756.0,-65.0,-65.0,-10.0,2021-03-02
CCC/F East,503.0,0.0,503.0,8.0,8.0,8.0,2021-03-02
CCC/F Central,618.0,0.0,618.0,0.0,0.0,0.0,2021-03-02
CCC/F West,486.0,0.0,486.0,-1.0,-1.0,-1.0,2021-03-02
CCC/F TOTAL,1607.0,0.0,1607.0,7.0,7.0,7.0,2021-03-02
