SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2190.0,4.0,2186.0,-1.0,-2.0,-18.0,2020-12-16
Benner,1948.0,3.0,1945.0,-2.0,-6.0,-11.0,2020-12-16
Camp Hill,2199.0,7.0,2192.0,37.0,33.0,116.0,2020-12-16
Cambridge Springs,937.0,17.0,920.0,1.0,-1.0,-6.0,2020-12-16
Chester,956.0,1.0,955.0,-3.0,-3.0,-32.0,2020-12-16
Coal Township,2335.0,4.0,2331.0,10.0,17.0,69.0,2020-12-16
Dallas,1913.0,2.0,1911.0,-2.0,-7.0,-23.0,2020-12-16
Frackville,1132.0,3.0,1129.0,-3.0,-5.0,-13.0,2020-12-16
Forest,2302.0,3.0,2299.0,-2.0,-4.0,-7.0,2020-12-16
Fayette,1973.0,3.0,1970.0,1.0,-7.0,4.0,2020-12-16
Greene,1761.0,2.0,1759.0,6.0,8.0,14.0,2020-12-16
Houtzdale,2442.0,2.0,2440.0,2.0,-1.0,14.0,2020-12-16
Huntingdon,1693.0,1.0,1692.0,-2.0,-6.0,11.0,2020-12-16
Laurel Highlands,782.0,13.0,769.0,-2.0,-1.0,-23.0,2020-12-16
Mahanoy,2220.0,4.0,2216.0,-2.0,-4.0,-27.0,2020-12-16
Mercer,1123.0,3.0,1120.0,0.0,-1.0,-32.0,2020-12-16
Muncy,1078.0,10.0,1068.0,-4.0,-4.0,12.0,2020-12-16
Phoenix,2950.0,8.0,2942.0,-3.0,-7.0,-45.0,2020-12-16
Pine Grove,899.0,3.0,896.0,-2.0,-3.0,-32.0,2020-12-16
Quehanna,340.0,0.0,340.0,-1.0,-1.0,0.0,2020-12-16
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-16
Rockview,1517.0,4.0,1513.0,0.0,-4.0,-17.0,2020-12-16
Smithfield,1285.0,4.0,1281.0,-3.0,-6.0,-20.0,2020-12-16
Somerset,2157.0,0.0,2157.0,0.0,-3.0,-18.0,2020-12-16
Waymart,960.0,7.0,953.0,-4.0,-4.0,-14.0,2020-12-16
SCI TOTAL,39092.0,108.0,38984.0,21.0,-22.0,-98.0,2020-12-16
CCC/F East,420.0,0.0,420.0,1.0,-13.0,-148.0,2020-12-16
CCC/F Central,458.0,0.0,458.0,-8.0,-6.0,-294.0,2020-12-16
CCC/F West,424.0,0.0,424.0,-11.0,-13.0,-304.0,2020-12-16
CCC/F TOTAL,1302.0,0.0,1302.0,-18.0,-32.0,-746.0,2020-12-16
