INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2191.0,4.0,2187.0,-5.0,-12.0,-16.0,2020-10-22
Benner,1967.0,3.0,1964.0,-4.0,-7.0,-24.0,2020-10-22
Camp Hill,2080.0,7.0,2073.0,58.0,141.0,-158.0,2020-10-22
Cambridge Springs,966.0,18.0,948.0,-1.0,0.0,-16.0,2020-10-22
Chester,1045.0,2.0,1043.0,-4.0,-11.0,75.0,2020-10-22
Coal Township,2277.0,4.0,2273.0,12.0,43.0,90.0,2020-10-22
Dallas,2084.0,2.0,2082.0,-6.0,-17.0,-26.0,2020-10-22
Frackville,1018.0,3.0,1015.0,-5.0,-8.0,-20.0,2020-10-22
Forest,2319.0,4.0,2315.0,-1.0,-6.0,-27.0,2020-10-22
Fayette,1940.0,3.0,1937.0,0.0,-2.0,-37.0,2020-10-22
Greene,1701.0,3.0,1698.0,3.0,7.0,30.0,2020-10-22
Houtzdale,2428.0,2.0,2426.0,-5.0,-6.0,-11.0,2020-10-22
Huntingdon,1771.0,1.0,1770.0,-11.0,-17.0,32.0,2020-10-22
Laurel Highlands,868.0,13.0,855.0,-1.0,-8.0,-30.0,2020-10-22
Mahanoy,2284.0,5.0,2279.0,-3.0,-3.0,-27.0,2020-10-22
Mercer,1227.0,3.0,1224.0,-4.0,-16.0,-45.0,2020-10-22
Muncy,1078.0,10.0,1068.0,2.0,-13.0,11.0,2020-10-22
Phoenix,2897.0,9.0,2888.0,-30.0,-46.0,76.0,2020-10-22
Pine Grove,1000.0,3.0,997.0,-2.0,-5.0,-24.0,2020-10-22
Quehanna,339.0,0.0,339.0,-19.0,-9.0,-77.0,2020-10-22
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-22
Rockview,1596.0,5.0,1591.0,-5.0,-6.0,-43.0,2020-10-22
Smithfield,1352.0,4.0,1348.0,-2.0,-4.0,-25.0,2020-10-22
Somerset,2229.0,0.0,2229.0,-3.0,-9.0,-30.0,2020-10-22
Waymart,1015.0,8.0,1007.0,-2.0,-7.0,-30.0,2020-10-22
SCI TOTAL,39672.0,116.0,39556.0,-38.0,-21.0,-352.0,2020-10-22
CCC/F East,629.0,0.0,629.0,0.0,-6.0,17.0,2020-10-22
CCC/F Central,816.0,0.0,816.0,0.0,-27.0,-64.0,2020-10-22
CCC/F West,791.0,0.0,791.0,0.0,-21.0,53.0,2020-10-22
CCC/F TOTAL,2236.0,0.0,2236.0,0.0,-54.0,6.0,2020-10-22
