INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2201.0,4.0,2197.0,-2.0,-2.0,-6.0,2020-10-19
Benner,1975.0,3.0,1972.0,1.0,1.0,-16.0,2020-10-19
Camp Hill,1939.0,7.0,1932.0,0.0,0.0,-299.0,2020-10-19
Cambridge Springs,963.0,18.0,945.0,-3.0,-3.0,-19.0,2020-10-19
Chester,1055.0,2.0,1053.0,-1.0,-1.0,85.0,2020-10-19
Coal Township,2244.0,4.0,2240.0,10.0,10.0,57.0,2020-10-19
Dallas,2096.0,2.0,2094.0,-5.0,-5.0,-14.0,2020-10-19
Frackville,1026.0,3.0,1023.0,0.0,0.0,-12.0,2020-10-19
Forest,2322.0,4.0,2318.0,-3.0,-3.0,-24.0,2020-10-19
Fayette,1941.0,3.0,1938.0,-1.0,-1.0,-36.0,2020-10-19
Greene,1696.0,3.0,1693.0,2.0,2.0,25.0,2020-10-19
Houtzdale,2429.0,2.0,2427.0,-5.0,-5.0,-10.0,2020-10-19
Huntingdon,1785.0,1.0,1784.0,-3.0,-3.0,46.0,2020-10-19
Laurel Highlands,871.0,13.0,858.0,-5.0,-5.0,-27.0,2020-10-19
Mahanoy,2287.0,5.0,2282.0,0.0,0.0,-24.0,2020-10-19
Mercer,1233.0,3.0,1230.0,-10.0,-10.0,-39.0,2020-10-19
Muncy,1091.0,10.0,1081.0,0.0,0.0,24.0,2020-10-19
Phoenix,2937.0,9.0,2928.0,-6.0,-6.0,116.0,2020-10-19
Pine Grove,1003.0,3.0,1000.0,-2.0,-2.0,-21.0,2020-10-19
Quehanna,348.0,0.0,348.0,0.0,0.0,-68.0,2020-10-19
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-19
Rockview,1601.0,5.0,1596.0,-1.0,-1.0,-38.0,2020-10-19
Smithfield,1355.0,4.0,1351.0,-1.0,-1.0,-22.0,2020-10-19
Somerset,2235.0,0.0,2235.0,-3.0,-3.0,-24.0,2020-10-19
Waymart,1022.0,8.0,1014.0,0.0,0.0,-23.0,2020-10-19
SCI TOTAL,39655.0,116.0,39539.0,-38.0,-38.0,-369.0,2020-10-19
CCC/F East,635.0,0.0,635.0,0.0,0.0,23.0,2020-10-19
CCC/F Central,843.0,0.0,843.0,0.0,0.0,-37.0,2020-10-19
CCC/F West,812.0,0.0,812.0,0.0,0.0,74.0,2020-10-19
CCC/F TOTAL,2290.0,0.0,2290.0,0.0,0.0,60.0,2020-10-19
