INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2195.0,4.0,2191.0,-8.0,-9.0,-7.0,2020-07-30
Benner,2032.0,3.0,2029.0,-1.0,1.0,-15.0,2020-07-30
Camp Hill,1842.0,9.0,1833.0,9.0,-23.0,-260.0,2020-07-30
Cambridge Springs,1018.0,19.0,999.0,-6.0,1.0,-25.0,2020-07-30
Chester,1002.0,3.0,999.0,-13.0,3.0,60.0,2020-07-30
Coal Township,2183.0,4.0,2179.0,-29.0,-13.0,65.0,2020-07-30
Dallas,2123.0,3.0,2120.0,36.0,39.0,-18.0,2020-07-30
Frackville,1182.0,4.0,1178.0,-2.0,-5.0,-38.0,2020-07-30
Forest,2370.0,7.0,2363.0,-2.0,-6.0,-20.0,2020-07-30
Fayette,2003.0,4.0,1999.0,-7.0,-16.0,-10.0,2020-07-30
Greene,1699.0,3.0,1696.0,-2.0,4.0,-43.0,2020-07-30
Houtzdale,2484.0,3.0,2481.0,-2.0,0.0,32.0,2020-07-30
Huntingdon,1832.0,1.0,1831.0,-2.0,-15.0,-40.0,2020-07-30
Laurel Highlands,1171.0,17.0,1154.0,-6.0,-11.0,-62.0,2020-07-30
Mahanoy,2325.0,5.0,2320.0,-3.0,13.0,-31.0,2020-07-30
Mercer,1366.0,3.0,1363.0,-6.0,-8.0,18.0,2020-07-30
Muncy,1122.0,11.0,1111.0,-1.0,-8.0,-10.0,2020-07-30
Phoenix,2836.0,8.0,2828.0,-8.0,-17.0,-44.0,2020-07-30
Pine Grove,1042.0,4.0,1038.0,-1.0,1.0,4.0,2020-07-30
Quehanna,434.0,0.0,434.0,0.0,-1.0,-15.0,2020-07-30
Retreat,0.0,0.0,0.0,0.0,0.0,-10.0,2020-07-30
Rockview,1947.0,6.0,1941.0,-1.0,-14.0,-36.0,2020-07-30
Smithfield,1395.0,4.0,1391.0,-1.0,-2.0,33.0,2020-07-30
Somerset,2301.0,0.0,2301.0,-3.0,-14.0,-4.0,2020-07-30
Waymart,1128.0,11.0,1117.0,-3.0,-10.0,-55.0,2020-07-30
SCI TOTAL,41032.0,136.0,40896.0,-62.0,-110.0,-531.0,2020-07-30
CCC/F East,830.0,0.0,830.0,0.0,-29.0,-58.0,2020-07-30
CCC/F Central,876.0,0.0,876.0,0.0,-12.0,-86.0,2020-07-30
CCC/F West,602.0,0.0,602.0,0.0,17.0,-37.0,2020-07-30
CCC/F TOTAL,2308.0,0.0,2308.0,0.0,-24.0,-181.0,2020-07-30
