INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2208.0,4.0,2204.0,-1.0,-1.0,1.0,2020-10-12
Benner,1980.0,3.0,1977.0,-3.0,-3.0,-11.0,2020-10-12
Camp Hill,2130.0,7.0,2123.0,-77.0,-77.0,-108.0,2020-10-12
Cambridge Springs,968.0,18.0,950.0,4.0,4.0,-14.0,2020-10-12
Chester,1036.0,2.0,1034.0,76.0,76.0,66.0,2020-10-12
Coal Township,2201.0,4.0,2197.0,4.0,4.0,14.0,2020-10-12
Dallas,2099.0,2.0,2097.0,-2.0,-2.0,-11.0,2020-10-12
Frackville,1033.0,3.0,1030.0,0.0,0.0,-5.0,2020-10-12
Forest,2334.0,5.0,2329.0,-4.0,-4.0,-13.0,2020-10-12
Fayette,1952.0,3.0,1949.0,0.0,0.0,-25.0,2020-10-12
Greene,1698.0,3.0,1695.0,8.0,8.0,27.0,2020-10-12
Houtzdale,2431.0,2.0,2429.0,-2.0,-2.0,-8.0,2020-10-12
Huntingdon,1811.0,1.0,1810.0,-2.0,-2.0,72.0,2020-10-12
Laurel Highlands,876.0,13.0,863.0,-3.0,-3.0,-22.0,2020-10-12
Mahanoy,2299.0,5.0,2294.0,-2.0,-2.0,-12.0,2020-10-12
Mercer,1247.0,3.0,1244.0,-3.0,-3.0,-25.0,2020-10-12
Muncy,1080.0,11.0,1069.0,-9.0,-9.0,12.0,2020-10-12
Phoenix,2784.0,9.0,2775.0,-3.0,-3.0,-37.0,2020-10-12
Pine Grove,1009.0,3.0,1006.0,-3.0,-3.0,-15.0,2020-10-12
Quehanna,352.0,0.0,352.0,-1.0,-1.0,-64.0,2020-10-12
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-12
Rockview,1609.0,5.0,1604.0,-2.0,-2.0,-30.0,2020-10-12
Smithfield,1360.0,4.0,1356.0,-4.0,-4.0,-17.0,2020-10-12
Somerset,2246.0,0.0,2246.0,-2.0,-2.0,-13.0,2020-10-12
Waymart,1032.0,8.0,1024.0,-3.0,-3.0,-13.0,2020-10-12
SCI TOTAL,39775.0,118.0,39657.0,-34.0,-34.0,-251.0,2020-10-12
CCC/F East,620.0,0.0,620.0,0.0,0.0,8.0,2020-10-12
CCC/F Central,861.0,0.0,861.0,0.0,0.0,-19.0,2020-10-12
CCC/F West,810.0,0.0,810.0,0.0,0.0,72.0,2020-10-12
CCC/F TOTAL,2291.0,0.0,2291.0,0.0,0.0,61.0,2020-10-12
