INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2171.0,4.0,2167.0,0.0,-8.0,0.0,2020-11-02
Benner,1954.0,3.0,1951.0,0.0,0.0,0.0,2020-11-02
Camp Hill,2055.0,7.0,2048.0,0.0,-99.0,0.0,2020-11-02
Cambridge Springs,968.0,18.0,950.0,-2.0,2.0,-2.0,2020-11-02
Chester,1029.0,2.0,1027.0,0.0,-1.0,0.0,2020-11-02
Coal Township,2286.0,4.0,2282.0,-1.0,1.0,-2.0,2020-11-02
Dallas,1997.0,2.0,1995.0,0.0,-31.0,0.0,2020-11-02
Frackville,1046.0,3.0,1043.0,0.0,27.0,0.0,2020-11-02
Forest,2312.0,4.0,2308.0,-2.0,-4.0,-3.0,2020-11-02
Fayette,1946.0,3.0,1943.0,0.0,-2.0,0.0,2020-11-02
Greene,1718.0,3.0,1715.0,0.0,4.0,0.0,2020-11-02
Houtzdale,2416.0,2.0,2414.0,0.0,-3.0,-1.0,2020-11-02
Huntingdon,1704.0,1.0,1703.0,0.0,-3.0,-2.0,2020-11-02
Laurel Highlands,858.0,13.0,845.0,-1.0,-2.0,-1.0,2020-11-02
Mahanoy,2270.0,5.0,2265.0,0.0,0.0,0.0,2020-11-02
Mercer,1207.0,3.0,1204.0,-2.0,-5.0,-4.0,2020-11-02
Muncy,1067.0,10.0,1057.0,0.0,-11.0,0.0,2020-11-02
Phoenix,2965.0,9.0,2956.0,-3.0,90.0,-6.0,2020-11-02
Pine Grove,988.0,3.0,985.0,-1.0,-3.0,-2.0,2020-11-02
Quehanna,317.0,0.0,317.0,0.0,0.0,0.0,2020-11-02
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-02
Rockview,1580.0,5.0,1575.0,-2.0,-2.0,-2.0,2020-11-02
Smithfield,1335.0,4.0,1331.0,0.0,-2.0,0.0,2020-11-02
Somerset,2222.0,0.0,2222.0,0.0,0.0,0.0,2020-11-02
Waymart,1005.0,7.0,998.0,0.0,0.0,0.0,2020-11-02
SCI TOTAL,39416.0,115.0,39301.0,-14.0,-52.0,-25.0,2020-11-02
CCC/F East,637.0,0.0,637.0,0.0,0.0,0.0,2020-11-02
CCC/F Central,828.0,0.0,828.0,0.0,0.0,0.0,2020-11-02
CCC/F West,823.0,0.0,823.0,0.0,0.0,0.0,2020-11-02
CCC/F TOTAL,2288.0,0.0,2288.0,0.0,0.0,0.0,2020-11-02
