SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2168.0,4.0,2164.0,-2.0,-4.0,-7.0,2021-01-13
Benner,1945.0,3.0,1942.0,-3.0,-4.0,-5.0,2021-01-13
Camp Hill,2387.0,7.0,2380.0,-1.0,-3.0,-26.0,2021-01-13
Cambridge Springs,894.0,17.0,877.0,6.0,-1.0,-6.0,2021-01-13
Chester,974.0,1.0,973.0,-1.0,-60.0,-84.0,2021-01-13
Coal Township,2313.0,4.0,2309.0,6.0,12.0,21.0,2021-01-13
Dallas,1691.0,2.0,1689.0,-2.0,-2.0,-12.0,2021-01-13
Frackville,1133.0,3.0,1130.0,-3.0,-3.0,-8.0,2021-01-13
Forest,2287.0,3.0,2284.0,-2.0,-4.0,-10.0,2021-01-13
Fayette,1984.0,3.0,1981.0,0.0,-1.0,12.0,2021-01-13
Greene,1774.0,2.0,1772.0,10.0,9.0,5.0,2021-01-13
Houtzdale,2412.0,2.0,2410.0,0.0,-2.0,-9.0,2021-01-13
Huntingdon,1844.0,1.0,1843.0,0.0,-3.0,36.0,2021-01-13
Laurel Highlands,778.0,13.0,765.0,-3.0,-6.0,20.0,2021-01-13
Mahanoy,2189.0,4.0,2185.0,-3.0,7.0,-6.0,2021-01-13
Mercer,1085.0,3.0,1082.0,0.0,-3.0,0.0,2021-01-13
Muncy,1091.0,8.0,1083.0,-4.0,-5.0,-7.0,2021-01-13
Phoenix,2943.0,8.0,2935.0,-10.0,53.0,64.0,2021-01-13
Pine Grove,907.0,3.0,904.0,-3.0,-5.0,-8.0,2021-01-13
Quehanna,276.0,0.0,276.0,0.0,0.0,-7.0,2021-01-13
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-13
Rockview,1580.0,4.0,1576.0,-4.0,-5.0,-11.0,2021-01-13
Smithfield,763.0,3.0,760.0,-3.0,-2.0,-191.0,2021-01-13
Somerset,2144.0,0.0,2144.0,-3.0,-5.0,4.0,2021-01-13
Waymart,938.0,7.0,931.0,-1.0,-3.0,-12.0,2021-01-13
SCI TOTAL,38500.0,105.0,38395.0,-26.0,-40.0,-247.0,2021-01-13
CCC/F East,447.0,0.0,447.0,-4.0,-5.0,35.0,2021-01-13
CCC/F Central,494.0,0.0,494.0,14.0,5.0,10.0,2021-01-13
CCC/F West,420.0,0.0,420.0,8.0,4.0,-4.0,2021-01-13
CCC/F TOTAL,1361.0,0.0,1361.0,18.0,4.0,41.0,2021-01-13
