SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2126.0,4.0,2122.0,-1.0,-4.0,-31.0,2021-03-16
Benner,1958.0,3.0,1955.0,-2.0,-5.0,12.0,2021-03-16
Camp Hill,1985.0,7.0,1978.0,2.0,-30.0,-92.0,2021-03-16
Cambridge Springs,886.0,15.0,871.0,-1.0,8.0,-3.0,2021-03-16
Chester,1020.0,1.0,1019.0,0.0,2.0,28.0,2021-03-16
Coal Township,2099.0,4.0,2095.0,7.0,11.0,7.0,2021-03-16
Dallas,1570.0,2.0,1568.0,-4.0,-5.0,-32.0,2021-03-16
Frackville,1106.0,3.0,1103.0,0.0,0.0,-2.0,2021-03-16
Forest,2255.0,3.0,2252.0,0.0,0.0,17.0,2021-03-16
Fayette,1958.0,3.0,1955.0,-1.0,-1.0,-3.0,2021-03-16
Greene,1733.0,2.0,1731.0,-3.0,-8.0,-35.0,2021-03-16
Houtzdale,2379.0,2.0,2377.0,-2.0,-6.0,1.0,2021-03-16
Huntingdon,1776.0,1.0,1775.0,0.0,0.0,-30.0,2021-03-16
Laurel Highlands,776.0,12.0,764.0,-2.0,-2.0,-14.0,2021-03-16
Mahanoy,2201.0,4.0,2197.0,0.0,-3.0,16.0,2021-03-16
Mercer,1057.0,3.0,1054.0,-2.0,-5.0,-3.0,2021-03-16
Muncy,1059.0,8.0,1051.0,-4.0,-18.0,-7.0,2021-03-16
Phoenix,3030.0,8.0,3022.0,1.0,31.0,56.0,2021-03-16
Pine Grove,932.0,3.0,929.0,-3.0,-10.0,-4.0,2021-03-16
Quehanna,272.0,0.0,272.0,1.0,0.0,2.0,2021-03-16
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-16
Rockview,1505.0,4.0,1501.0,-1.0,-3.0,-16.0,2021-03-16
Smithfield,1018.0,3.0,1015.0,5.0,-7.0,-14.0,2021-03-16
Somerset,2145.0,0.0,2145.0,-3.0,-4.0,-3.0,2021-03-16
Waymart,855.0,7.0,848.0,0.0,-4.0,-17.0,2021-03-16
SCI TOTAL,37701.0,102.0,37599.0,-13.0,-63.0,-167.0,2021-03-16
CCC/F East,494.0,0.0,494.0,-3.0,-4.0,-1.0,2021-03-16
CCC/F Central,630.0,0.0,630.0,0.0,-6.0,12.0,2021-03-16
CCC/F West,519.0,0.0,519.0,-5.0,-9.0,32.0,2021-03-16
CCC/F TOTAL,1643.0,0.0,1643.0,-8.0,-19.0,43.0,2021-03-16
