INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2184.0,4.0,2180.0,-2.0,-7.0,-23.0,2020-10-28
Benner,1958.0,3.0,1955.0,0.0,-8.0,-33.0,2020-10-28
Camp Hill,2162.0,7.0,2155.0,-2.0,30.0,-76.0,2020-10-28
Cambridge Springs,967.0,18.0,949.0,0.0,2.0,-15.0,2020-10-28
Chester,1038.0,2.0,1036.0,0.0,-2.0,68.0,2020-10-28
Coal Township,2329.0,4.0,2325.0,20.0,39.0,142.0,2020-10-28
Dallas,2037.0,2.0,2035.0,-2.0,-43.0,-73.0,2020-10-28
Frackville,1011.0,3.0,1008.0,0.0,-4.0,-27.0,2020-10-28
Forest,2318.0,4.0,2314.0,2.0,-1.0,-28.0,2020-10-28
Fayette,1930.0,3.0,1927.0,-3.0,-8.0,-47.0,2020-10-28
Greene,1707.0,3.0,1704.0,5.0,3.0,36.0,2020-10-28
Houtzdale,2424.0,2.0,2422.0,-2.0,-3.0,-15.0,2020-10-28
Huntingdon,1742.0,1.0,1741.0,-1.0,-1.0,3.0,2020-10-28
Laurel Highlands,865.0,13.0,852.0,-3.0,-2.0,-33.0,2020-10-28
Mahanoy,2274.0,5.0,2269.0,1.0,-2.0,-37.0,2020-10-28
Mercer,1223.0,3.0,1220.0,0.0,-2.0,-49.0,2020-10-28
Muncy,1073.0,10.0,1063.0,3.0,-6.0,6.0,2020-10-28
Phoenix,2881.0,9.0,2872.0,-5.0,-17.0,60.0,2020-10-28
Pine Grove,996.0,3.0,993.0,-1.0,-4.0,-28.0,2020-10-28
Quehanna,337.0,0.0,337.0,0.0,-2.0,-79.0,2020-10-28
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-28
Rockview,1586.0,5.0,1581.0,-2.0,-8.0,-53.0,2020-10-28
Smithfield,1342.0,4.0,1338.0,-2.0,-8.0,-35.0,2020-10-28
Somerset,2225.0,0.0,2225.0,0.0,-3.0,-34.0,2020-10-28
Waymart,1007.0,7.0,1000.0,-2.0,-5.0,-37.0,2020-10-28
SCI TOTAL,39616.0,115.0,39501.0,4.0,-62.0,-407.0,2020-10-28
CCC/F East,629.0,0.0,629.0,-16.0,-16.0,17.0,2020-10-28
CCC/F Central,813.0,0.0,813.0,-5.0,-5.0,-67.0,2020-10-28
CCC/F West,811.0,0.0,811.0,-3.0,-3.0,73.0,2020-10-28
CCC/F TOTAL,2253.0,0.0,2253.0,-24.0,-24.0,23.0,2020-10-28
