SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2141.0,4.0,2137.0,-4.0,-17.0,-16.0,2021-03-08
Benner,1959.0,3.0,1956.0,-1.0,19.0,13.0,2021-03-08
Camp Hill,2021.0,7.0,2014.0,-4.0,-53.0,-56.0,2021-03-08
Cambridge Springs,887.0,15.0,872.0,-1.0,7.0,-2.0,2021-03-08
Chester,1011.0,1.0,1010.0,5.0,29.0,19.0,2021-03-08
Coal Township,2050.0,4.0,2046.0,-10.0,-51.0,-42.0,2021-03-08
Dallas,1591.0,2.0,1589.0,0.0,-11.0,-11.0,2021-03-08
Frackville,1105.0,3.0,1102.0,-1.0,-6.0,-3.0,2021-03-08
Forest,2248.0,3.0,2245.0,-1.0,9.0,10.0,2021-03-08
Fayette,1966.0,3.0,1963.0,-4.0,4.0,5.0,2021-03-08
Greene,1750.0,2.0,1748.0,-5.0,-21.0,-18.0,2021-03-08
Houtzdale,2377.0,2.0,2375.0,0.0,1.0,-1.0,2021-03-08
Huntingdon,1788.0,1.0,1787.0,-3.0,-21.0,-18.0,2021-03-08
Laurel Highlands,790.0,13.0,777.0,-1.0,-2.0,-1.0,2021-03-08
Mahanoy,2192.0,4.0,2188.0,-7.0,6.0,7.0,2021-03-08
Mercer,1056.0,3.0,1053.0,-3.0,-7.0,-4.0,2021-03-08
Muncy,1068.0,8.0,1060.0,3.0,-9.0,2.0,2021-03-08
Phoenix,3007.0,8.0,2999.0,-3.0,26.0,33.0,2021-03-08
Pine Grove,937.0,3.0,934.0,-1.0,2.0,1.0,2021-03-08
Quehanna,274.0,0.0,274.0,0.0,4.0,4.0,2021-03-08
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-08
Rockview,1514.0,4.0,1510.0,0.0,-8.0,-7.0,2021-03-08
Smithfield,1095.0,3.0,1092.0,43.0,21.0,63.0,2021-03-08
Somerset,2156.0,0.0,2156.0,0.0,11.0,8.0,2021-03-08
Waymart,866.0,7.0,859.0,-2.0,-8.0,-6.0,2021-03-08
SCI TOTAL,37849.0,103.0,37746.0,0.0,-75.0,-20.0,2021-03-08
CCC/F East,499.0,0.0,499.0,11.0,4.0,4.0,2021-03-08
CCC/F Central,635.0,0.0,635.0,4.0,17.0,17.0,2021-03-08
CCC/F West,514.0,0.0,514.0,11.0,27.0,27.0,2021-03-08
CCC/F TOTAL,1648.0,0.0,1648.0,26.0,48.0,48.0,2021-03-08
