INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2204.0,4.0,2200.0,2.0,0.0,33.0,2020-11-18
Benner,1958.0,3.0,1955.0,10.0,4.0,4.0,2020-11-18
Camp Hill,2091.0,7.0,2084.0,43.0,82.0,36.0,2020-11-18
Cambridge Springs,944.0,18.0,926.0,2.0,-4.0,-26.0,2020-11-18
Chester,1005.0,2.0,1003.0,0.0,-7.0,-24.0,2020-11-18
Coal Township,2258.0,4.0,2254.0,-27.0,-10.0,-30.0,2020-11-18
Dallas,1952.0,2.0,1950.0,-14.0,-28.0,-45.0,2020-11-18
Frackville,1132.0,3.0,1129.0,-1.0,-9.0,86.0,2020-11-18
Forest,2323.0,3.0,2320.0,-2.0,-7.0,9.0,2020-11-18
Fayette,1975.0,3.0,1972.0,12.0,10.0,29.0,2020-11-18
Greene,1720.0,2.0,1718.0,0.0,5.0,3.0,2020-11-18
Houtzdale,2417.0,2.0,2415.0,-4.0,-8.0,0.0,2020-11-18
Huntingdon,1689.0,1.0,1688.0,-1.0,-6.0,-17.0,2020-11-18
Laurel Highlands,828.0,13.0,815.0,-3.0,-10.0,-31.0,2020-11-18
Mahanoy,2263.0,5.0,2258.0,-1.0,-10.0,-7.0,2020-11-18
Mercer,1182.0,3.0,1179.0,0.0,-4.0,-29.0,2020-11-18
Muncy,1066.0,10.0,1056.0,5.0,3.0,-1.0,2020-11-18
Phoenix,2988.0,9.0,2979.0,23.0,22.0,17.0,2020-11-18
Pine Grove,945.0,3.0,942.0,-1.0,-5.0,-45.0,2020-11-18
Quehanna,386.0,0.0,386.0,12.0,24.0,69.0,2020-11-18
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-18
Rockview,1553.0,4.0,1549.0,-4.0,-11.0,-28.0,2020-11-18
Smithfield,1316.0,4.0,1312.0,-1.0,-2.0,-19.0,2020-11-18
Somerset,2188.0,0.0,2188.0,-7.0,-11.0,-34.0,2020-11-18
Waymart,984.0,7.0,977.0,-1.0,-1.0,-21.0,2020-11-18
SCI TOTAL,39367.0,112.0,39255.0,42.0,17.0,-71.0,2020-11-18
CCC/F East,630.0,0.0,630.0,-25.0,-25.0,-7.0,2020-11-18
CCC/F Central,796.0,0.0,796.0,-8.0,-8.0,-32.0,2020-11-18
CCC/F West,773.0,0.0,773.0,-33.0,-33.0,-50.0,2020-11-18
CCC/F TOTAL,2199.0,0.0,2199.0,-66.0,-66.0,-89.0,2020-11-18
