INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2196.0,4.0,2192.0,-3.0,-7.0,-11.0,2020-10-21
Benner,1971.0,3.0,1968.0,1.0,-3.0,-20.0,2020-10-21
Camp Hill,2022.0,7.0,2015.0,57.0,83.0,-216.0,2020-10-21
Cambridge Springs,967.0,18.0,949.0,1.0,1.0,-15.0,2020-10-21
Chester,1049.0,2.0,1047.0,-1.0,-7.0,79.0,2020-10-21
Coal Township,2265.0,4.0,2261.0,6.0,31.0,78.0,2020-10-21
Dallas,2090.0,2.0,2088.0,-4.0,-11.0,-20.0,2020-10-21
Frackville,1023.0,3.0,1020.0,-3.0,-3.0,-15.0,2020-10-21
Forest,2320.0,4.0,2316.0,-2.0,-5.0,-26.0,2020-10-21
Fayette,1940.0,3.0,1937.0,-2.0,-2.0,-37.0,2020-10-21
Greene,1698.0,3.0,1695.0,-4.0,4.0,27.0,2020-10-21
Houtzdale,2433.0,2.0,2431.0,1.0,-1.0,-6.0,2020-10-21
Huntingdon,1782.0,1.0,1781.0,-3.0,-6.0,43.0,2020-10-21
Laurel Highlands,869.0,13.0,856.0,-1.0,-7.0,-29.0,2020-10-21
Mahanoy,2287.0,5.0,2282.0,1.0,0.0,-24.0,2020-10-21
Mercer,1231.0,3.0,1228.0,-1.0,-12.0,-41.0,2020-10-21
Muncy,1076.0,10.0,1066.0,-11.0,-15.0,9.0,2020-10-21
Phoenix,2927.0,9.0,2918.0,-2.0,-16.0,106.0,2020-10-21
Pine Grove,1002.0,3.0,999.0,1.0,-3.0,-22.0,2020-10-21
Quehanna,358.0,0.0,358.0,11.0,10.0,-58.0,2020-10-21
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-21
Rockview,1601.0,5.0,1596.0,6.0,-1.0,-38.0,2020-10-21
Smithfield,1354.0,4.0,1350.0,0.0,-2.0,-23.0,2020-10-21
Somerset,2232.0,0.0,2232.0,-1.0,-6.0,-27.0,2020-10-21
Waymart,1017.0,8.0,1009.0,-4.0,-5.0,-28.0,2020-10-21
SCI TOTAL,39710.0,116.0,39594.0,43.0,17.0,-314.0,2020-10-21
CCC/F East,629.0,0.0,629.0,-6.0,-6.0,17.0,2020-10-21
CCC/F Central,816.0,0.0,816.0,-27.0,-27.0,-64.0,2020-10-21
CCC/F West,791.0,0.0,791.0,-21.0,-21.0,53.0,2020-10-21
CCC/F TOTAL,2236.0,0.0,2236.0,-54.0,-54.0,6.0,2020-10-21
