SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2171.0,4.0,2167.0,-2.0,-8.0,-37.0,2020-12-29
Benner,1942.0,3.0,1939.0,-2.0,-10.0,-17.0,2020-12-29
Camp Hill,2410.0,7.0,2403.0,-3.0,-11.0,327.0,2020-12-29
Cambridge Springs,917.0,17.0,900.0,-3.0,-5.0,-26.0,2020-12-29
Chester,1059.0,1.0,1058.0,-2.0,14.0,71.0,2020-12-29
Coal Township,2299.0,4.0,2295.0,9.0,-8.0,33.0,2020-12-29
Dallas,1708.0,2.0,1706.0,-3.0,-4.0,-228.0,2020-12-29
Frackville,1144.0,3.0,1141.0,-3.0,-6.0,-1.0,2020-12-29
Forest,2304.0,3.0,2301.0,1.0,7.0,-5.0,2020-12-29
Fayette,1966.0,3.0,1963.0,-2.0,-4.0,-3.0,2020-12-29
Greene,1777.0,2.0,1775.0,0.0,-1.0,30.0,2020-12-29
Houtzdale,2426.0,2.0,2424.0,-1.0,-7.0,-2.0,2020-12-29
Huntingdon,1811.0,1.0,1810.0,-1.0,20.0,129.0,2020-12-29
Laurel Highlands,767.0,13.0,754.0,0.0,-9.0,-38.0,2020-12-29
Mahanoy,2193.0,4.0,2189.0,-6.0,-13.0,-54.0,2020-12-29
Mercer,1090.0,3.0,1087.0,0.0,-8.0,-65.0,2020-12-29
Muncy,1090.0,9.0,1081.0,-2.0,-7.0,25.0,2020-12-29
Phoenix,2882.0,8.0,2874.0,-2.0,-18.0,-113.0,2020-12-29
Pine Grove,902.0,3.0,899.0,0.0,-1.0,-29.0,2020-12-29
Quehanna,322.0,0.0,322.0,-2.0,-4.0,-18.0,2020-12-29
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-29
Rockview,1590.0,4.0,1586.0,-2.0,-2.0,56.0,2020-12-29
Smithfield,988.0,3.0,985.0,-1.0,-65.0,-316.0,2020-12-29
Somerset,2144.0,0.0,2144.0,0.0,-3.0,-31.0,2020-12-29
Waymart,953.0,7.0,946.0,-1.0,-2.0,-21.0,2020-12-29
SCI TOTAL,38855.0,106.0,38749.0,-28.0,-155.0,-333.0,2020-12-29
CCC/F East,428.0,0.0,428.0,1.0,25.0,-140.0,2020-12-29
CCC/F Central,466.0,0.0,466.0,13.0,17.0,-286.0,2020-12-29
CCC/F West,408.0,0.0,408.0,-11.0,-11.0,-320.0,2020-12-29
CCC/F TOTAL,1302.0,0.0,1302.0,3.0,31.0,-746.0,2020-12-29
