INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2186.0,4.0,2182.0,-5.0,-5.0,-21.0,2020-10-26
Benner,1959.0,3.0,1956.0,-7.0,-7.0,-32.0,2020-10-26
Camp Hill,2168.0,7.0,2161.0,36.0,36.0,-70.0,2020-10-26
Cambridge Springs,964.0,18.0,946.0,-1.0,-1.0,-18.0,2020-10-26
Chester,1040.0,2.0,1038.0,0.0,0.0,70.0,2020-10-26
Coal Township,2293.0,4.0,2289.0,3.0,3.0,106.0,2020-10-26
Dallas,2041.0,2.0,2039.0,-39.0,-39.0,-69.0,2020-10-26
Frackville,1013.0,3.0,1010.0,-2.0,-2.0,-25.0,2020-10-26
Forest,2317.0,4.0,2313.0,-2.0,-2.0,-29.0,2020-10-26
Fayette,1936.0,3.0,1933.0,-2.0,-2.0,-41.0,2020-10-26
Greene,1702.0,3.0,1699.0,-2.0,-2.0,31.0,2020-10-26
Houtzdale,2425.0,2.0,2423.0,-2.0,-2.0,-14.0,2020-10-26
Huntingdon,1743.0,1.0,1742.0,0.0,0.0,4.0,2020-10-26
Laurel Highlands,867.0,13.0,854.0,0.0,0.0,-31.0,2020-10-26
Mahanoy,2274.0,5.0,2269.0,-2.0,-2.0,-37.0,2020-10-26
Mercer,1225.0,3.0,1222.0,0.0,0.0,-47.0,2020-10-26
Muncy,1072.0,10.0,1062.0,-7.0,-7.0,5.0,2020-10-26
Phoenix,2889.0,9.0,2880.0,-9.0,-9.0,68.0,2020-10-26
Pine Grove,998.0,3.0,995.0,-2.0,-2.0,-26.0,2020-10-26
Quehanna,338.0,0.0,338.0,-1.0,-1.0,-78.0,2020-10-26
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-26
Rockview,1589.0,5.0,1584.0,-5.0,-5.0,-50.0,2020-10-26
Smithfield,1347.0,4.0,1343.0,-3.0,-3.0,-30.0,2020-10-26
Somerset,2225.0,0.0,2225.0,-3.0,-3.0,-34.0,2020-10-26
Waymart,1012.0,8.0,1004.0,-1.0,-1.0,-33.0,2020-10-26
SCI TOTAL,39623.0,116.0,39507.0,-56.0,-56.0,-401.0,2020-10-26
CCC/F East,645.0,0.0,645.0,0.0,0.0,33.0,2020-10-26
CCC/F Central,818.0,0.0,818.0,0.0,0.0,-62.0,2020-10-26
CCC/F West,814.0,0.0,814.0,0.0,0.0,76.0,2020-10-26
CCC/F TOTAL,2277.0,0.0,2277.0,0.0,0.0,47.0,2020-10-26
