SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2180.0,4.0,2176.0,-1.0,8.0,-28.0,2020-12-23
Benner,1948.0,3.0,1945.0,2.0,-34.0,-11.0,2020-12-23
Camp Hill,2408.0,7.0,2401.0,9.0,85.0,325.0,2020-12-23
Cambridge Springs,924.0,17.0,907.0,-2.0,-4.0,-19.0,2020-12-23
Chester,1046.0,1.0,1045.0,23.0,40.0,58.0,2020-12-23
Coal Township,2330.0,4.0,2326.0,11.0,-11.0,64.0,2020-12-23
Dallas,1713.0,2.0,1711.0,-6.0,-10.0,-223.0,2020-12-23
Frackville,1135.0,3.0,1132.0,-3.0,1.0,-10.0,2020-12-23
Forest,2297.0,3.0,2294.0,-2.0,-2.0,-12.0,2020-12-23
Fayette,1958.0,3.0,1955.0,-1.0,-4.0,-11.0,2020-12-23
Greene,1780.0,2.0,1778.0,5.0,20.0,33.0,2020-12-23
Houtzdale,2435.0,2.0,2433.0,0.0,-5.0,7.0,2020-12-23
Huntingdon,1778.0,1.0,1777.0,17.0,42.0,96.0,2020-12-23
Laurel Highlands,777.0,13.0,764.0,-1.0,-2.0,-28.0,2020-12-23
Mahanoy,2207.0,4.0,2203.0,-4.0,-12.0,-40.0,2020-12-23
Mercer,1100.0,3.0,1097.0,-3.0,-11.0,-55.0,2020-12-23
Muncy,1092.0,9.0,1083.0,3.0,2.0,27.0,2020-12-23
Phoenix,2902.0,8.0,2894.0,-11.0,-15.0,-93.0,2020-12-23
Pine Grove,906.0,3.0,903.0,0.0,20.0,-25.0,2020-12-23
Quehanna,326.0,0.0,326.0,-1.0,-1.0,-14.0,2020-12-23
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-23
Rockview,1588.0,4.0,1584.0,4.0,16.0,54.0,2020-12-23
Smithfield,1110.0,3.0,1107.0,-66.0,-143.0,-194.0,2020-12-23
Somerset,2147.0,0.0,2147.0,-1.0,5.0,-28.0,2020-12-23
Waymart,955.0,7.0,948.0,-2.0,-4.0,-19.0,2020-12-23
SCI TOTAL,39042.0,106.0,38936.0,-30.0,-19.0,-146.0,2020-12-23
CCC/F East,409.0,0.0,409.0,-11.0,-13.0,-159.0,2020-12-23
CCC/F Central,466.0,0.0,466.0,6.0,-1.0,-286.0,2020-12-23
CCC/F West,432.0,0.0,432.0,-5.0,-1.0,-296.0,2020-12-23
CCC/F TOTAL,1307.0,0.0,1307.0,-10.0,-15.0,-741.0,2020-12-23
