SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2194.0,4.0,2190.0,-7.0,0.0,-14.0,2020-12-02
Benner,1954.0,3.0,1951.0,0.0,-11.0,-5.0,2020-12-02
Camp Hill,2154.0,7.0,2147.0,24.0,64.0,71.0,2020-12-02
Cambridge Springs,942.0,18.0,924.0,-2.0,-2.0,-2.0,2020-12-02
Chester,983.0,1.0,982.0,-2.0,-13.0,-5.0,2020-12-02
Coal Township,2270.0,4.0,2266.0,-6.0,-1.0,4.0,2020-12-02
Dallas,1927.0,2.0,1925.0,-2.0,-12.0,-9.0,2020-12-02
Frackville,1149.0,3.0,1146.0,6.0,3.0,4.0,2020-12-02
Forest,2314.0,3.0,2311.0,4.0,4.0,5.0,2020-12-02
Fayette,1973.0,3.0,1970.0,7.0,2.0,4.0,2020-12-02
Greene,1741.0,2.0,1739.0,-7.0,-7.0,-6.0,2020-12-02
Houtzdale,2428.0,2.0,2426.0,0.0,-7.0,0.0,2020-12-02
Huntingdon,1712.0,1.0,1711.0,31.0,27.0,30.0,2020-12-02
Laurel Highlands,800.0,13.0,787.0,-3.0,-17.0,-5.0,2020-12-02
Mahanoy,2238.0,5.0,2233.0,-6.0,-15.0,-10.0,2020-12-02
Mercer,1148.0,3.0,1145.0,-7.0,-19.0,-7.0,2020-12-02
Muncy,1060.0,10.0,1050.0,2.0,-10.0,-6.0,2020-12-02
Phoenix,2985.0,8.0,2977.0,-6.0,-20.0,-10.0,2020-12-02
Pine Grove,919.0,3.0,916.0,-10.0,-15.0,-12.0,2020-12-02
Quehanna,362.0,0.0,362.0,22.0,22.0,22.0,2020-12-02
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-02
Rockview,1527.0,4.0,1523.0,-3.0,-7.0,-7.0,2020-12-02
Smithfield,1300.0,4.0,1296.0,-4.0,-7.0,-5.0,2020-12-02
Somerset,2171.0,0.0,2171.0,-3.0,-7.0,-4.0,2020-12-02
Waymart,972.0,7.0,965.0,0.0,-4.0,-2.0,2020-12-02
SCI TOTAL,39223.0,110.0,39113.0,28.0,-52.0,31.0,2020-12-02
CCC/F East,547.0,0.0,547.0,-21.0,-21.0,-21.0,2020-12-02
CCC/F Central,743.0,0.0,743.0,-9.0,-9.0,-9.0,2020-12-02
CCC/F West,704.0,0.0,704.0,-24.0,-24.0,-24.0,2020-12-02
CCC/F TOTAL,1994.0,0.0,1994.0,-54.0,-54.0,-54.0,2020-12-02
