SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2128.0,4.0,2124.0,8.0,5.0,-29.0,2021-03-24
Benner,1960.0,3.0,1957.0,6.0,4.0,14.0,2021-03-24
Camp Hill,2046.0,7.0,2039.0,17.0,76.0,-31.0,2021-03-24
Cambridge Springs,884.0,15.0,869.0,4.0,1.0,-5.0,2021-03-24
Chester,1011.0,1.0,1010.0,2.0,-3.0,19.0,2021-03-24
Coal Township,2079.0,4.0,2075.0,-24.0,-21.0,-13.0,2021-03-24
Dallas,1560.0,2.0,1558.0,-3.0,-5.0,-42.0,2021-03-24
Frackville,1100.0,3.0,1097.0,1.0,-4.0,-8.0,2021-03-24
Forest,2264.0,3.0,2261.0,1.0,-5.0,26.0,2021-03-24
Fayette,1950.0,3.0,1947.0,1.0,-4.0,-11.0,2021-03-24
Greene,1694.0,2.0,1692.0,-17.0,-17.0,-74.0,2021-03-24
Houtzdale,2368.0,2.0,2366.0,0.0,-3.0,-10.0,2021-03-24
Huntingdon,1764.0,1.0,1763.0,-1.0,-1.0,-42.0,2021-03-24
Laurel Highlands,774.0,12.0,762.0,2.0,0.0,-16.0,2021-03-24
Mahanoy,2209.0,4.0,2205.0,-4.0,3.0,24.0,2021-03-24
Mercer,1046.0,3.0,1043.0,5.0,-1.0,-14.0,2021-03-24
Muncy,1076.0,8.0,1068.0,2.0,2.0,10.0,2021-03-24
Phoenix,3023.0,8.0,3015.0,-5.0,-15.0,49.0,2021-03-24
Pine Grove,926.0,3.0,923.0,4.0,0.0,-10.0,2021-03-24
Quehanna,281.0,0.0,281.0,5.0,4.0,11.0,2021-03-24
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-24
Rockview,1492.0,3.0,1489.0,-2.0,-4.0,-28.0,2021-03-24
Smithfield,1009.0,3.0,1006.0,-6.0,-48.0,-23.0,2021-03-24
Somerset,2149.0,0.0,2149.0,1.0,-2.0,1.0,2021-03-24
Waymart,847.0,7.0,840.0,-1.0,-6.0,-25.0,2021-03-24
SCI TOTAL,37640.0,101.0,37539.0,-4.0,-44.0,-227.0,2021-03-24
CCC/F East,517.0,0.0,517.0,1.0,13.0,22.0,2021-03-24
CCC/F Central,627.0,0.0,627.0,-7.0,-9.0,9.0,2021-03-24
CCC/F West,531.0,0.0,531.0,3.0,-2.0,44.0,2021-03-24
CCC/F TOTAL,1675.0,0.0,1675.0,-3.0,2.0,75.0,2021-03-24
