INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2198.0,4.0,2194.0,-3.0,-12.0,-43.0,2020-05-15
Benner,2024.0,4.0,2020.0,-1.0,-7.0,-20.0,2020-05-15
Camp Hill,2866.0,10.0,2856.0,-3.0,-85.0,-129.0,2020-05-15
Cambridge Springs,1083.0,18.0,1065.0,-3.0,-16.0,-49.0,2020-05-15
Chester,979.0,3.0,976.0,-2.0,-9.0,-30.0,2020-05-15
Coal Township,2060.0,4.0,2056.0,1.0,-4.0,-25.0,2020-05-15
Dallas,2119.0,3.0,2116.0,-5.0,-14.0,-34.0,2020-05-15
Frackville,1173.0,4.0,1169.0,-3.0,-11.0,2.0,2020-05-15
Forest,2317.0,7.0,2310.0,-2.0,-6.0,-13.0,2020-05-15
Fayette,1902.0,4.0,1898.0,0.0,-13.0,-40.0,2020-05-15
Greene,1742.0,4.0,1738.0,-3.0,-5.0,-19.0,2020-05-15
Houtzdale,2422.0,4.0,2418.0,3.0,-9.0,-36.0,2020-05-15
Huntingdon,1940.0,1.0,1939.0,-1.0,-11.0,-43.0,2020-05-15
Laurel Highlands,1323.0,13.0,1310.0,-4.0,-22.0,-43.0,2020-05-15
Mahanoy,2266.0,5.0,2261.0,-1.0,-8.0,-33.0,2020-05-15
Mercer,1305.0,3.0,1302.0,-3.0,-13.0,-21.0,2020-05-15
Muncy,1277.0,10.0,1267.0,5.0,-2.0,-29.0,2020-05-15
Phoenix,2954.0,9.0,2945.0,-6.0,-24.0,-78.0,2020-05-15
Pine Grove,1012.0,4.0,1008.0,-3.0,-11.0,-16.0,2020-05-15
Quehanna,394.0,0.0,394.0,2.0,67.0,91.0,2020-05-15
Retreat,582.0,0.0,582.0,20.0,89.0,224.0,2020-05-15
Rockview,2044.0,4.0,2040.0,-2.0,-12.0,-96.0,2020-05-15
Smithfield,1257.0,4.0,1253.0,0.0,-3.0,-12.0,2020-05-15
Somerset,2282.0,0.0,2282.0,0.0,-13.0,-23.0,2020-05-15
Waymart,1269.0,11.0,1258.0,-3.0,-12.0,-48.0,2020-05-15
SCI TOTAL,42790.0,133.0,42657.0,-17.0,-166.0,-563.0,2020-05-15
CCC/F East,1045.0,0.0,1045.0,4.0,-12.0,20.0,2020-05-15
CCC/F Central,1164.0,0.0,1164.0,16.0,-3.0,-29.0,2020-05-15
CCC/F West,753.0,0.0,753.0,21.0,-5.0,19.0,2020-05-15
CCC/F TOTAL,2962.0,0.0,2962.0,41.0,-20.0,10.0,2020-05-15
