INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2260.0,0.0,2260.0,-1.0,-10.0,-31.0,2020-04-18
Benner,2055.0,0.0,2055.0,0.0,-10.0,-19.0,2020-04-18
Camp Hill,2847.0,0.0,2847.0,-6.0,-28.0,-80.0,2020-04-18
Cambridge Springs,1153.0,0.0,1153.0,-3.0,-3.0,-5.0,2020-04-18
Chester,1048.0,0.0,1048.0,0.0,-29.0,-73.0,2020-04-18
Coal Township,2114.0,2.0,2112.0,-4.0,-15.0,-33.0,2020-04-18
Dallas,2141.0,0.0,2141.0,-4.0,-9.0,-45.0,2020-04-18
Frackville,1179.0,0.0,1179.0,-1.0,-6.0,-24.0,2020-04-18
Forest,2290.0,0.0,2290.0,0.0,-9.0,-9.0,2020-04-18
Fayette,1977.0,3.0,1974.0,-8.0,-18.0,-56.0,2020-04-18
Greene,1768.0,1.0,1767.0,-3.0,-13.0,-24.0,2020-04-18
Houtzdale,2480.0,0.0,2480.0,-2.0,-7.0,-40.0,2020-04-18
Huntingdon,2000.0,0.0,2000.0,-2.0,-10.0,-34.0,2020-04-18
Laurel Highlands,1394.0,0.0,1394.0,-2.0,-22.0,-60.0,2020-04-18
Mahanoy,2323.0,0.0,2323.0,-2.0,-16.0,-45.0,2020-04-18
Mercer,1318.0,0.0,1318.0,-2.0,-15.0,-43.0,2020-04-18
Muncy,1335.0,0.0,1335.0,-7.0,-31.0,-41.0,2020-04-18
Phoenix,3090.0,9.0,3081.0,-16.0,-49.0,-117.0,2020-04-18
Pine Grove,1014.0,0.0,1014.0,0.0,-10.0,-23.0,2020-04-18
Quehanna,375.0,0.0,375.0,0.0,-15.0,-37.0,2020-04-18
Retreat,484.0,0.0,484.0,0.0,4.0,293.0,2020-04-18
Rockview,2316.0,0.0,2316.0,-1.0,-5.0,-25.0,2020-04-18
Smithfield,1288.0,3.0,1285.0,-5.0,-12.0,-18.0,2020-04-18
Somerset,2322.0,0.0,2322.0,0.0,-11.0,-44.0,2020-04-18
Waymart,1340.0,6.0,1334.0,-7.0,-23.0,-52.0,2020-04-18
SCI TOTAL,43911.0,24.0,43887.0,-76.0,-372.0,-685.0,2020-04-18
CCC/F East,1064.0,0.0,1064.0,-15.0,-30.0,89.0,2020-04-18
CCC/F Central,1209.0,0.0,1209.0,-1.0,35.0,77.0,2020-04-18
CCC/F West,869.0,0.0,869.0,-1.0,20.0,181.0,2020-04-18
CCC/F TOTAL,3142.0,0.0,3142.0,-17.0,25.0,347.0,2020-04-18
