date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-05-27,Albion,2192.0,4.0,2188.0,6.0,5.0,-49.0
2020-05-27,Benner,2016.0,4.0,2012.0,0.0,-2.0,-28.0
2020-05-27,Camp Hill,2901.0,10.0,2891.0,-43.0,-47.0,-94.0
2020-05-27,Cambridge Springs,1062.0,18.0,1044.0,-7.0,-7.0,-70.0
2020-05-27,Chester,936.0,3.0,933.0,-10.0,-10.0,-73.0
2020-05-27,Coal Township,2033.0,4.0,2029.0,-3.0,-7.0,-52.0
2020-05-27,Dallas,2105.0,3.0,2102.0,-3.0,-3.0,-48.0
2020-05-27,Frackville,1186.0,4.0,1182.0,28.0,23.0,15.0
2020-05-27,Forest,2326.0,7.0,2319.0,19.0,19.0,-4.0
2020-05-27,Fayette,1875.0,4.0,1871.0,-6.0,-10.0,-67.0
2020-05-27,Greene,1737.0,4.0,1733.0,-2.0,-2.0,-24.0
2020-05-27,Houtzdale,2407.0,4.0,2403.0,1.0,-3.0,-51.0
2020-05-27,Huntingdon,1892.0,1.0,1891.0,-2.0,-4.0,-91.0
2020-05-27,Laurel Highlands,1311.0,15.0,1296.0,1.0,-3.0,-57.0
2020-05-27,Mahanoy,2249.0,5.0,2244.0,-4.0,-4.0,-50.0
2020-05-27,Mercer,1289.0,3.0,1286.0,1.0,-1.0,-37.0
2020-05-27,Muncy,1255.0,11.0,1244.0,-6.0,-7.0,-52.0
2020-05-27,Phoenix,2961.0,9.0,2952.0,0.0,-3.0,-71.0
2020-05-27,Pine Grove,999.0,4.0,995.0,-1.0,-2.0,-29.0
2020-05-27,Quehanna,410.0,0.0,410.0,-3.0,-3.0,107.0
2020-05-27,Retreat,530.0,0.0,530.0,-1.0,-1.0,172.0
2020-05-27,Rockview,2040.0,7.0,2033.0,1.0,1.0,-103.0
2020-05-27,Smithfield,1246.0,4.0,1242.0,1.0,-1.0,-23.0
2020-05-27,Somerset,2265.0,0.0,2265.0,0.0,-4.0,-40.0
2020-05-27,Waymart,1242.0,11.0,1231.0,-5.0,-6.0,-75.0
2020-05-27,SCI TOTAL,42465.0,139.0,42326.0,-38.0,-82.0,-894.0
2020-05-27,CCC/F East,1031.0,0.0,1031.0,0.0,0.0,6.0
2020-05-27,CCC/F Central,1164.0,0.0,1164.0,0.0,0.0,-29.0
2020-05-27,CCC/F West,736.0,0.0,736.0,0.0,0.0,2.0
2020-05-27,CCC/F TOTAL,2931.0,0.0,2931.0,0.0,0.0,-21.0
