INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2211.0,4.0,2207.0,11.0,5.0,4.0,2020-10-08
Benner,1985.0,3.0,1982.0,-5.0,-5.0,-6.0,2020-10-08
Camp Hill,2210.0,7.0,2203.0,-6.0,-17.0,-28.0,2020-10-08
Cambridge Springs,968.0,18.0,950.0,-11.0,-6.0,-14.0,2020-10-08
Chester,960.0,2.0,958.0,-15.0,0.0,-10.0,2020-10-08
Coal Township,2185.0,4.0,2181.0,15.0,-14.0,-2.0,2020-10-08
Dallas,2105.0,2.0,2103.0,-10.0,-9.0,-5.0,2020-10-08
Frackville,1033.0,3.0,1030.0,-2.0,-4.0,-5.0,2020-10-08
Forest,2339.0,5.0,2334.0,7.0,-6.0,-8.0,2020-10-08
Fayette,1954.0,3.0,1951.0,-3.0,-7.0,-23.0,2020-10-08
Greene,1685.0,3.0,1682.0,5.0,18.0,14.0,2020-10-08
Houtzdale,2432.0,2.0,2430.0,-5.0,-2.0,-7.0,2020-10-08
Huntingdon,1813.0,1.0,1812.0,-1.0,48.0,74.0,2020-10-08
Laurel Highlands,879.0,13.0,866.0,-4.0,-12.0,-19.0,2020-10-08
Mahanoy,2301.0,5.0,2296.0,-3.0,-10.0,-10.0,2020-10-08
Mercer,1250.0,3.0,1247.0,-3.0,-13.0,-22.0,2020-10-08
Muncy,1080.0,11.0,1069.0,-5.0,3.0,12.0,2020-10-08
Phoenix,2796.0,9.0,2787.0,-2.0,18.0,-25.0,2020-10-08
Pine Grove,1014.0,3.0,1011.0,-1.0,-4.0,-10.0,2020-10-08
Quehanna,353.0,0.0,353.0,-43.0,-66.0,-63.0,2020-10-08
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-08
Rockview,1612.0,5.0,1607.0,-9.0,-14.0,-27.0,2020-10-08
Smithfield,1367.0,4.0,1363.0,-7.0,-7.0,-10.0,2020-10-08
Somerset,2251.0,0.0,2251.0,-5.0,-13.0,-8.0,2020-10-08
Waymart,1035.0,8.0,1027.0,-1.0,-9.0,-10.0,2020-10-08
SCI TOTAL,39818.0,118.0,39700.0,-103.0,-126.0,-208.0,2020-10-08
CCC/F East,601.0,0.0,601.0,0.0,-11.0,-11.0,2020-10-08
CCC/F Central,846.0,0.0,846.0,0.0,-34.0,-34.0,2020-10-08
CCC/F West,781.0,0.0,781.0,0.0,43.0,43.0,2020-10-08
CCC/F TOTAL,2228.0,0.0,2228.0,0.0,-2.0,-2.0,2020-10-08
