SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2155.0,4.0,2151.0,1.0,2.0,-20.0,2021-01-26
Benner,1960.0,3.0,1957.0,-1.0,-2.0,10.0,2021-01-26
Camp Hill,2201.0,7.0,2194.0,-4.0,-5.0,-212.0,2021-01-26
Cambridge Springs,879.0,16.0,863.0,3.0,0.0,-20.0,2021-01-26
Chester,968.0,1.0,967.0,-9.0,-9.0,-90.0,2021-01-26
Coal Township,2249.0,4.0,2245.0,-7.0,-23.0,-43.0,2021-01-26
Dallas,1668.0,2.0,1666.0,-4.0,-5.0,-35.0,2021-01-26
Frackville,1115.0,3.0,1112.0,0.0,0.0,-26.0,2021-01-26
Forest,2259.0,3.0,2256.0,-2.0,-6.0,-38.0,2021-01-26
Fayette,1996.0,3.0,1993.0,1.0,-2.0,24.0,2021-01-26
Greene,1767.0,2.0,1765.0,-3.0,-20.0,-2.0,2021-01-26
Houtzdale,2401.0,2.0,2399.0,3.0,-2.0,-20.0,2021-01-26
Huntingdon,1842.0,1.0,1841.0,0.0,2.0,34.0,2021-01-26
Laurel Highlands,808.0,13.0,795.0,0.0,-1.0,50.0,2021-01-26
Mahanoy,2180.0,4.0,2176.0,-5.0,-5.0,-15.0,2021-01-26
Mercer,1083.0,3.0,1080.0,-2.0,-6.0,-2.0,2021-01-26
Muncy,1093.0,8.0,1085.0,-3.0,-1.0,-5.0,2021-01-26
Phoenix,2968.0,8.0,2960.0,1.0,-6.0,89.0,2021-01-26
Pine Grove,925.0,3.0,922.0,-1.0,-1.0,10.0,2021-01-26
Quehanna,284.0,0.0,284.0,-3.0,-3.0,1.0,2021-01-26
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-26
Rockview,1559.0,4.0,1555.0,0.0,-3.0,-32.0,2021-01-26
Smithfield,924.0,3.0,921.0,42.0,107.0,-30.0,2021-01-26
Somerset,2142.0,0.0,2142.0,-4.0,-8.0,2.0,2021-01-26
Waymart,918.0,7.0,911.0,-3.0,-5.0,-32.0,2021-01-26
SCI TOTAL,38344.0,104.0,38240.0,0.0,-2.0,-402.0,2021-01-26
CCC/F East,460.0,0.0,460.0,-2.0,45.0,48.0,2021-01-26
CCC/F Central,512.0,0.0,512.0,-6.0,-6.0,28.0,2021-01-26
CCC/F West,449.0,0.0,449.0,7.0,8.0,25.0,2021-01-26
CCC/F TOTAL,1421.0,0.0,1421.0,-1.0,47.0,101.0,2021-01-26
