INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2186.0,4.0,2182.0,0.0,-1.0,-55.0,2020-05-26
Benner,2016.0,4.0,2012.0,0.0,-2.0,-28.0,2020-05-26
Camp Hill,2944.0,10.0,2934.0,0.0,-4.0,-51.0,2020-05-26
Cambridge Springs,1069.0,18.0,1051.0,0.0,0.0,-63.0,2020-05-26
Chester,946.0,3.0,943.0,0.0,0.0,-63.0,2020-05-26
Coal Township,2036.0,4.0,2032.0,-1.0,-4.0,-49.0,2020-05-26
Dallas,2108.0,3.0,2105.0,0.0,0.0,-45.0,2020-05-26
Frackville,1158.0,4.0,1154.0,-4.0,-5.0,-13.0,2020-05-26
Forest,2307.0,7.0,2300.0,0.0,0.0,-23.0,2020-05-26
Fayette,1881.0,4.0,1877.0,-1.0,-4.0,-61.0,2020-05-26
Greene,1739.0,4.0,1735.0,0.0,0.0,-22.0,2020-05-26
Houtzdale,2406.0,4.0,2402.0,-1.0,-4.0,-52.0,2020-05-26
Huntingdon,1894.0,1.0,1893.0,-1.0,-2.0,-89.0,2020-05-26
Laurel Highlands,1310.0,15.0,1295.0,0.0,-4.0,-58.0,2020-05-26
Mahanoy,2253.0,5.0,2248.0,0.0,0.0,-46.0,2020-05-26
Mercer,1288.0,3.0,1285.0,-1.0,-2.0,-38.0,2020-05-26
Muncy,1261.0,11.0,1250.0,0.0,-1.0,-46.0,2020-05-26
Phoenix,2961.0,9.0,2952.0,0.0,-3.0,-71.0,2020-05-26
Pine Grove,1000.0,4.0,996.0,0.0,-1.0,-28.0,2020-05-26
Quehanna,413.0,0.0,413.0,0.0,0.0,110.0,2020-05-26
Retreat,531.0,0.0,531.0,0.0,0.0,173.0,2020-05-26
Rockview,2039.0,7.0,2032.0,0.0,0.0,-104.0,2020-05-26
Smithfield,1245.0,4.0,1241.0,0.0,-2.0,-24.0,2020-05-26
Somerset,2265.0,0.0,2265.0,0.0,-4.0,-40.0,2020-05-26
Waymart,1247.0,11.0,1236.0,-1.0,-1.0,-70.0,2020-05-26
SCI TOTAL,42503.0,139.0,42364.0,-10.0,-44.0,-856.0,2020-05-26
CCC/F East,1031.0,0.0,1031.0,0.0,0.0,6.0,2020-05-26
CCC/F Central,1164.0,0.0,1164.0,0.0,0.0,-29.0,2020-05-26
CCC/F West,736.0,0.0,736.0,0.0,0.0,2.0,2020-05-26
CCC/F TOTAL,2931.0,0.0,2931.0,0.0,0.0,-21.0,2020-05-26
