SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2158.0,4.0,2154.0,1.0,1.0,17.0,2021-03-01
Benner,1940.0,3.0,1937.0,0.0,-12.0,-13.0,2021-03-01
Camp Hill,2074.0,7.0,2067.0,-10.0,-22.0,-87.0,2021-03-01
Cambridge Springs,880.0,15.0,865.0,-2.0,6.0,-1.0,2021-03-01
Chester,982.0,1.0,981.0,-5.0,19.0,11.0,2021-03-01
Coal Township,2101.0,4.0,2097.0,-7.0,-51.0,-116.0,2021-03-01
Dallas,1602.0,2.0,1600.0,0.0,-14.0,-51.0,2021-03-01
Frackville,1111.0,3.0,1108.0,-4.0,4.0,-2.0,2021-03-01
Forest,2239.0,3.0,2236.0,0.0,8.0,-12.0,2021-03-01
Fayette,1962.0,3.0,1959.0,-4.0,-11.0,-20.0,2021-03-01
Greene,1771.0,2.0,1769.0,-1.0,22.0,12.0,2021-03-01
Houtzdale,2376.0,2.0,2374.0,-1.0,6.0,-20.0,2021-03-01
Huntingdon,1809.0,1.0,1808.0,0.0,-8.0,-25.0,2021-03-01
Laurel Highlands,792.0,13.0,779.0,0.0,-8.0,-29.0,2021-03-01
Mahanoy,2186.0,4.0,2182.0,-1.0,7.0,0.0,2021-03-01
Mercer,1063.0,3.0,1060.0,-3.0,9.0,-19.0,2021-03-01
Muncy,1077.0,8.0,1069.0,9.0,3.0,-21.0,2021-03-01
Phoenix,2981.0,8.0,2973.0,24.0,16.0,10.0,2021-03-01
Pine Grove,935.0,3.0,932.0,0.0,20.0,13.0,2021-03-01
Quehanna,270.0,0.0,270.0,0.0,-7.0,-17.0,2021-03-01
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-01
Rockview,1522.0,4.0,1518.0,-2.0,-12.0,-23.0,2021-03-01
Smithfield,1074.0,3.0,1071.0,33.0,-33.0,43.0,2021-03-01
Somerset,2145.0,0.0,2145.0,-3.0,9.0,5.0,2021-03-01
Waymart,874.0,7.0,867.0,-1.0,-10.0,-37.0,2021-03-01
SCI TOTAL,37924.0,103.0,37821.0,23.0,-58.0,-382.0,2021-03-01
CCC/F East,495.0,0.0,495.0,14.0,15.0,33.0,2021-03-01
CCC/F Central,618.0,0.0,618.0,-2.0,22.0,74.0,2021-03-01
CCC/F West,487.0,0.0,487.0,-16.0,7.0,35.0,2021-03-01
CCC/F TOTAL,1600.0,0.0,1600.0,-4.0,44.0,142.0,2021-03-01
