date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-05-07,Albion,2217.0,2.0,2215.0,-12.0,-17.0,-22.0
2020-05-07,Benner,2034.0,3.0,2031.0,-4.0,-7.0,-9.0
2020-05-07,Camp Hill,2987.0,9.0,2978.0,-8.0,-32.0,-7.0
2020-05-07,Cambridge Springs,1100.0,16.0,1084.0,-4.0,-20.0,-30.0
2020-05-07,Chester,991.0,2.0,989.0,-10.0,-14.0,-17.0
2020-05-07,Coal Township,2069.0,5.0,2064.0,-2.0,-11.0,-17.0
2020-05-07,Dallas,2136.0,3.0,2133.0,-3.0,-11.0,-17.0
2020-05-07,Frackville,1186.0,3.0,1183.0,-2.0,-7.0,16.0
2020-05-07,Forest,2324.0,7.0,2317.0,-2.0,-7.0,-6.0
2020-05-07,Fayette,1922.0,3.0,1919.0,-7.0,-16.0,-19.0
2020-05-07,Greene,1749.0,4.0,1745.0,-2.0,-9.0,-12.0
2020-05-07,Houtzdale,2436.0,4.0,2432.0,-7.0,-22.0,-22.0
2020-05-07,Huntingdon,1969.0,1.0,1968.0,-1.0,-13.0,-14.0
2020-05-07,Laurel Highlands,1351.0,12.0,1339.0,-7.0,-9.0,-14.0
2020-05-07,Mahanoy,2284.0,3.0,2281.0,-1.0,-9.0,-13.0
2020-05-07,Mercer,1321.0,3.0,1318.0,0.0,-1.0,-5.0
2020-05-07,Muncy,1277.0,9.0,1268.0,-6.0,-26.0,-28.0
2020-05-07,Phoenix,2974.0,8.0,2966.0,-9.0,-18.0,-57.0
2020-05-07,Pine Grove,1021.0,2.0,1019.0,1.0,0.0,-5.0
2020-05-07,Quehanna,291.0,0.0,291.0,-12.0,-12.0,-12.0
2020-05-07,Retreat,470.0,0.0,470.0,7.0,53.0,112.0
2020-05-07,Rockview,2060.0,4.0,2056.0,-4.0,-11.0,-80.0
2020-05-07,Smithfield,1260.0,3.0,1257.0,-3.0,-4.0,-8.0
2020-05-07,Somerset,2298.0,0.0,2298.0,-2.0,-5.0,-7.0
2020-05-07,Waymart,1297.0,10.0,1287.0,-4.0,-12.0,-19.0
2020-05-07,SCI TOTAL,43024.0,116.0,42908.0,-104.0,-240.0,-312.0
2020-05-07,CCC/F East,1056.0,0.0,1056.0,9.0,16.0,31.0
2020-05-07,CCC/F Central,1152.0,0.0,1152.0,9.0,-69.0,-41.0
2020-05-07,CCC/F West,749.0,0.0,749.0,-8.0,5.0,15.0
2020-05-07,CCC/F TOTAL,2957.0,0.0,2957.0,10.0,-48.0,5.0
