date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-07-02,Albion,2202.0,4.0,2198.0,-2.0,-2.0,18.0
2020-07-02,Benner,2047.0,3.0,2044.0,-1.0,-1.0,36.0
2020-07-02,Camp Hill,2103.0,10.0,2093.0,-18.0,-20.0,-624.0
2020-07-02,Cambridge Springs,1043.0,19.0,1024.0,-5.0,-5.0,-17.0
2020-07-02,Chester,942.0,3.0,939.0,36.0,36.0,10.0
2020-07-02,Coal Township,2118.0,4.0,2114.0,11.0,8.0,79.0
2020-07-02,Dallas,2141.0,3.0,2138.0,-1.0,-2.0,13.0
2020-07-02,Frackville,1220.0,4.0,1216.0,-1.0,-5.0,42.0
2020-07-02,Forest,2391.0,8.0,2383.0,-2.0,-2.0,66.0
2020-07-02,Fayette,2013.0,4.0,2009.0,0.0,-1.0,131.0
2020-07-02,Greene,1743.0,4.0,1739.0,4.0,3.0,12.0
2020-07-02,Houtzdale,2453.0,4.0,2449.0,-1.0,-4.0,29.0
2020-07-02,Huntingdon,1872.0,1.0,1871.0,0.0,-3.0,-15.0
2020-07-02,Laurel Highlands,1234.0,18.0,1216.0,-3.0,-5.0,-67.0
2020-07-02,Mahanoy,2356.0,5.0,2351.0,-7.0,-7.0,99.0
2020-07-02,Mercer,1348.0,3.0,1345.0,-4.0,-6.0,42.0
2020-07-02,Muncy,1132.0,11.0,1121.0,1.0,1.0,-106.0
2020-07-02,Phoenix,2881.0,9.0,2872.0,-3.0,-8.0,-58.0
2020-07-02,Pine Grove,1038.0,4.0,1034.0,-1.0,-2.0,32.0
2020-07-02,Quehanna,449.0,0.0,449.0,6.0,6.0,47.0
2020-07-02,Retreat,10.0,0.0,10.0,-2.0,-2.0,-576.0
2020-07-02,Rockview,1985.0,8.0,1977.0,-3.0,-4.0,-48.0
2020-07-02,Smithfield,1363.0,5.0,1358.0,1.0,1.0,103.0
2020-07-02,Somerset,2305.0,0.0,2305.0,0.0,-1.0,22.0
2020-07-02,Waymart,1183.0,11.0,1172.0,-4.0,-4.0,-51.0
2020-07-02,SCI TOTAL,41572.0,145.0,41427.0,1.0,-29.0,-781.0
2020-07-02,CCC/F East,888.0,0.0,888.0,-19.0,-19.0,-107.0
2020-07-02,CCC/F Central,962.0,0.0,962.0,-15.0,-15.0,-163.0
2020-07-02,CCC/F West,639.0,0.0,639.0,0.0,0.0,-84.0
2020-07-02,CCC/F TOTAL,2489.0,0.0,2489.0,-34.0,-34.0,-354.0
