INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2201.0,4.0,2197.0,-3.0,-9.0,-40.0,2020-05-14
Benner,2025.0,4.0,2021.0,-3.0,-6.0,-19.0,2020-05-14
Camp Hill,2869.0,10.0,2859.0,-11.0,-82.0,-126.0,2020-05-14
Cambridge Springs,1086.0,18.0,1068.0,-9.0,-13.0,-46.0,2020-05-14
Chester,981.0,3.0,978.0,-1.0,-7.0,-28.0,2020-05-14
Coal Township,2059.0,4.0,2055.0,-3.0,-5.0,-26.0,2020-05-14
Dallas,2124.0,3.0,2121.0,-1.0,-9.0,-29.0,2020-05-14
Frackville,1176.0,4.0,1172.0,-4.0,-8.0,5.0,2020-05-14
Forest,2319.0,7.0,2312.0,-2.0,-4.0,-11.0,2020-05-14
Fayette,1902.0,4.0,1898.0,-3.0,-13.0,-40.0,2020-05-14
Greene,1745.0,4.0,1741.0,0.0,-2.0,-16.0,2020-05-14
Houtzdale,2419.0,4.0,2415.0,-7.0,-12.0,-39.0,2020-05-14
Huntingdon,1941.0,1.0,1940.0,-1.0,-10.0,-42.0,2020-05-14
Laurel Highlands,1327.0,13.0,1314.0,-1.0,-18.0,-39.0,2020-05-14
Mahanoy,2267.0,5.0,2262.0,-2.0,-7.0,-32.0,2020-05-14
Mercer,1308.0,3.0,1305.0,-6.0,-10.0,-18.0,2020-05-14
Muncy,1272.0,10.0,1262.0,-5.0,-7.0,-34.0,2020-05-14
Phoenix,2960.0,9.0,2951.0,-9.0,-18.0,-72.0,2020-05-14
Pine Grove,1015.0,4.0,1011.0,-7.0,-8.0,-13.0,2020-05-14
Quehanna,392.0,0.0,392.0,-8.0,65.0,89.0,2020-05-14
Retreat,562.0,0.0,562.0,15.0,69.0,204.0,2020-05-14
Rockview,2046.0,4.0,2042.0,-3.0,-10.0,-94.0,2020-05-14
Smithfield,1257.0,4.0,1253.0,-1.0,-3.0,-12.0,2020-05-14
Somerset,2282.0,0.0,2282.0,-10.0,-13.0,-23.0,2020-05-14
Waymart,1272.0,11.0,1261.0,-4.0,-9.0,-45.0,2020-05-14
SCI TOTAL,42807.0,133.0,42674.0,-89.0,-149.0,-546.0,2020-05-14
CCC/F East,1041.0,0.0,1041.0,3.0,-16.0,16.0,2020-05-14
CCC/F Central,1148.0,0.0,1148.0,-4.0,-19.0,-45.0,2020-05-14
CCC/F West,732.0,0.0,732.0,9.0,-26.0,-2.0,2020-05-14
CCC/F TOTAL,2921.0,0.0,2921.0,8.0,-61.0,-31.0,2020-05-14
